"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"64190","https://toiletmap.gov.au/facility/64190","Hive Shopping Centre","Shopping centre","313 Victoria Street","Abbotsford","VIC","","-37.80937110","144.99566060","False","False","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Thu 9am-7pm, Mon-Wed 9am-5:30pm, Sat-Sun 9am-5pm, Fri 9am-9pm","","True","True","False","False","False","True","False","False","","False","False","True","False","False"
"64191","https://toiletmap.gov.au/facility/64191","Suffolk Park Skate Park","Park or reserve","46 Beech Dr","Suffolk Park","NSW","","-28.68567587","153.60631540","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","True","False","False","False","False"
"64193","https://toiletmap.gov.au/facility/64193","Caltex Woolworths Holtze","Service station","883 Stuart Hwy","Holtze","NT","","-12.45435300","130.96592900","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","","False","False","False","False","False"
"64197","https://toiletmap.gov.au/facility/64197","Rudd Park","Park or reserve","Rudd Park","Belfield","NSW","","-33.90554754","151.09121458","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64199","https://toiletmap.gov.au/facility/64199","BP Nhill","Service station","7297 Western Highway","Nhill","VIC","","-36.33454890","141.67528900","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Sat-Sun 7am-9pm, Mon-Fri 6am-10pm","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64200","https://toiletmap.gov.au/facility/64200","McDonald's Plainland","Food outlet","64 Laidley Plainland Road","Plainland","QLD","","-27.56699250","152.42210290","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"64201","https://toiletmap.gov.au/facility/64201","Metro Petroleum Dimboola","Service station","29 Ellerman Street","Dimboola","VIC","","-36.45515741","142.03498276","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Mon-Fri 6am-8pm, Sat-Sun 7am-8pm","","False","False","True","False","False","False","False","False","","False","False","False","False","False"
"64203","https://toiletmap.gov.au/facility/64203","Playford Road Reserve","Park or reserve","Playford Road","Newton","SA","","-34.88429839","138.68050380","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","False","True","False","False","False","False","False","","True","True","True","True","False"
"64204","https://toiletmap.gov.au/facility/64204","Dimboola Swimming Pool","Swimming pool","55 Lloyd Street","Dimboola","VIC","","-36.45666968","142.02739334","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Venue hours","","True","True","False","False","False","False","False","False","","False","False","True","False","True"
"64205","https://toiletmap.gov.au/facility/64205","Goroke Accommodation Park","Caravan park","105-107 Main Street","Goroke","VIC","","-36.72056157","141.46688435","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","","False","False","False","False","True"
