"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1999M07";"Konsumprisindeks (2015=100)";73
"TOTAL Totalindeks";"1999M07";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1999M07";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1999M08";"Konsumprisindeks (2015=100)";72,7
"TOTAL Totalindeks";"1999M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"1999M08";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1999M09";"Konsumprisindeks (2015=100)";73,4
"TOTAL Totalindeks";"1999M09";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1999M09";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1999M10";"Konsumprisindeks (2015=100)";73,7
"TOTAL Totalindeks";"1999M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1999M10";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1999M11";"Konsumprisindeks (2015=100)";74
"TOTAL Totalindeks";"1999M11";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1999M11";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"1999M12";"Konsumprisindeks (2015=100)";74,1
"TOTAL Totalindeks";"1999M12";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1999M12";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2000M01";"Konsumprisindeks (2015=100)";74,5
"TOTAL Totalindeks";"2000M01";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2000M01";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2000M02";"Konsumprisindeks (2015=100)";74,8
"TOTAL Totalindeks";"2000M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2000M02";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2000M03";"Konsumprisindeks (2015=100)";74,9
"TOTAL Totalindeks";"2000M03";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2000M03";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2000M04";"Konsumprisindeks (2015=100)";75,1
"TOTAL Totalindeks";"2000M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2000M04";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2000M05";"Konsumprisindeks (2015=100)";75,2
"TOTAL Totalindeks";"2000M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2000M05";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2000M06";"Konsumprisindeks (2015=100)";75,6
"TOTAL Totalindeks";"2000M06";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2000M06";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2000M07";"Konsumprisindeks (2015=100)";75,3
"TOTAL Totalindeks";"2000M07";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2000M07";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2000M08";"Konsumprisindeks (2015=100)";75,3
"TOTAL Totalindeks";"2000M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2000M08";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2000M09";"Konsumprisindeks (2015=100)";76
"TOTAL Totalindeks";"2000M09";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"2000M09";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2000M10";"Konsumprisindeks (2015=100)";76
"TOTAL Totalindeks";"2000M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2000M10";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2000M11";"Konsumprisindeks (2015=100)";76,4
"TOTAL Totalindeks";"2000M11";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2000M11";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2000M12";"Konsumprisindeks (2015=100)";76,3
"TOTAL Totalindeks";"2000M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2000M12";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2001M01";"Konsumprisindeks (2015=100)";76,9
"TOTAL Totalindeks";"2001M01";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2001M01";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2001M02";"Konsumprisindeks (2015=100)";77,5
"TOTAL Totalindeks";"2001M02";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2001M02";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2001M03";"Konsumprisindeks (2015=100)";77,7
"TOTAL Totalindeks";"2001M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2001M03";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"2001M04";"Konsumprisindeks (2015=100)";78
"TOTAL Totalindeks";"2001M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2001M04";"12-måneders endring (prosent)";3,9
"TOTAL Totalindeks";"2001M05";"Konsumprisindeks (2015=100)";78,4
"TOTAL Totalindeks";"2001M05";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2001M05";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"2001M06";"Konsumprisindeks (2015=100)";78,4
"TOTAL Totalindeks";"2001M06";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2001M06";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"2001M07";"Konsumprisindeks (2015=100)";77,4
"TOTAL Totalindeks";"2001M07";"Månedsendring (prosent)";-1,3
"TOTAL Totalindeks";"2001M07";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2001M08";"Konsumprisindeks (2015=100)";77,3
"TOTAL Totalindeks";"2001M08";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2001M08";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2001M09";"Konsumprisindeks (2015=100)";77,7
"TOTAL Totalindeks";"2001M09";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2001M09";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2001M10";"Konsumprisindeks (2015=100)";77,7
"TOTAL Totalindeks";"2001M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2001M10";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2001M11";"Konsumprisindeks (2015=100)";77,7
"TOTAL Totalindeks";"2001M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2001M11";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"2001M12";"Konsumprisindeks (2015=100)";77,9
"TOTAL Totalindeks";"2001M12";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2001M12";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2002M01";"Konsumprisindeks (2015=100)";78
"TOTAL Totalindeks";"2002M01";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2002M01";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2002M02";"Konsumprisindeks (2015=100)";78,1
"TOTAL Totalindeks";"2002M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2002M02";"12-måneders endring (prosent)";0,8
"TOTAL Totalindeks";"2002M03";"Konsumprisindeks (2015=100)";78,4
"TOTAL Totalindeks";"2002M03";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2002M03";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"2002M04";"Konsumprisindeks (2015=100)";78,5
"TOTAL Totalindeks";"2002M04";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2002M04";"12-måneders endring (prosent)";0,6
"TOTAL Totalindeks";"2002M05";"Konsumprisindeks (2015=100)";78,7
"TOTAL Totalindeks";"2002M05";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2002M05";"12-måneders endring (prosent)";0,4
"TOTAL Totalindeks";"2002M06";"Konsumprisindeks (2015=100)";78,7
"TOTAL Totalindeks";"2002M06";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2002M06";"12-måneders endring (prosent)";0,4
"TOTAL Totalindeks";"2002M07";"Konsumprisindeks (2015=100)";78,6
"TOTAL Totalindeks";"2002M07";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2002M07";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2002M08";"Konsumprisindeks (2015=100)";78,3
"TOTAL Totalindeks";"2002M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2002M08";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2002M09";"Konsumprisindeks (2015=100)";78,8
"TOTAL Totalindeks";"2002M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2002M09";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2002M10";"Konsumprisindeks (2015=100)";79,1
"TOTAL Totalindeks";"2002M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2002M10";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2002M11";"Konsumprisindeks (2015=100)";79,4
"TOTAL Totalindeks";"2002M11";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2002M11";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2002M12";"Konsumprisindeks (2015=100)";80
"TOTAL Totalindeks";"2002M12";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2002M12";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2003M01";"Konsumprisindeks (2015=100)";81,9
"TOTAL Totalindeks";"2003M01";"Månedsendring (prosent)";2,4
"TOTAL Totalindeks";"2003M01";"12-måneders endring (prosent)";5
"TOTAL Totalindeks";"2003M02";"Konsumprisindeks (2015=100)";82
"TOTAL Totalindeks";"2003M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2003M02";"12-måneders endring (prosent)";5
"TOTAL Totalindeks";"2003M03";"Konsumprisindeks (2015=100)";81,4
"TOTAL Totalindeks";"2003M03";"Månedsendring (prosent)";-0,7
"TOTAL Totalindeks";"2003M03";"12-måneders endring (prosent)";3,8
"TOTAL Totalindeks";"2003M04";"Konsumprisindeks (2015=100)";80,8
"TOTAL Totalindeks";"2003M04";"Månedsendring (prosent)";-0,7
"TOTAL Totalindeks";"2003M04";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2003M05";"Konsumprisindeks (2015=100)";80,3
"TOTAL Totalindeks";"2003M05";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2003M05";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2003M06";"Konsumprisindeks (2015=100)";80,1
"TOTAL Totalindeks";"2003M06";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2003M06";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2003M07";"Konsumprisindeks (2015=100)";79,8
"TOTAL Totalindeks";"2003M07";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2003M07";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2003M08";"Konsumprisindeks (2015=100)";80
"TOTAL Totalindeks";"2003M08";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2003M08";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2003M09";"Konsumprisindeks (2015=100)";80,4
"TOTAL Totalindeks";"2003M09";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2003M09";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2003M10";"Konsumprisindeks (2015=100)";80,4
"TOTAL Totalindeks";"2003M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2003M10";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2003M11";"Konsumprisindeks (2015=100)";80,5
"TOTAL Totalindeks";"2003M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2003M11";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2003M12";"Konsumprisindeks (2015=100)";80,5
"TOTAL Totalindeks";"2003M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2003M12";"12-måneders endring (prosent)";0,6
"TOTAL Totalindeks";"2004M01";"Konsumprisindeks (2015=100)";80,4
"TOTAL Totalindeks";"2004M01";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2004M01";"12-måneders endring (prosent)";-1,8
"TOTAL Totalindeks";"2004M02";"Konsumprisindeks (2015=100)";80,5
"TOTAL Totalindeks";"2004M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2004M02";"12-måneders endring (prosent)";-1,8
"TOTAL Totalindeks";"2004M03";"Konsumprisindeks (2015=100)";80,9
"TOTAL Totalindeks";"2004M03";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2004M03";"12-måneders endring (prosent)";-0,6
"TOTAL Totalindeks";"2004M04";"Konsumprisindeks (2015=100)";81
"TOTAL Totalindeks";"2004M04";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2004M04";"12-måneders endring (prosent)";0,2
"TOTAL Totalindeks";"2004M05";"Konsumprisindeks (2015=100)";81,1
"TOTAL Totalindeks";"2004M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2004M05";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2004M06";"Konsumprisindeks (2015=100)";81,1
"TOTAL Totalindeks";"2004M06";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2004M06";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2004M07";"Konsumprisindeks (2015=100)";81
"TOTAL Totalindeks";"2004M07";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2004M07";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2004M08";"Konsumprisindeks (2015=100)";80,8
"TOTAL Totalindeks";"2004M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2004M08";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2004M09";"Konsumprisindeks (2015=100)";81,3
"TOTAL Totalindeks";"2004M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2004M09";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2004M10";"Konsumprisindeks (2015=100)";81,5
"TOTAL Totalindeks";"2004M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2004M10";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2004M11";"Konsumprisindeks (2015=100)";81,5
"TOTAL Totalindeks";"2004M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2004M11";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2004M12";"Konsumprisindeks (2015=100)";81,4
"TOTAL Totalindeks";"2004M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2004M12";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2005M01";"Konsumprisindeks (2015=100)";81,2
"TOTAL Totalindeks";"2005M01";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2005M01";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2005M02";"Konsumprisindeks (2015=100)";81,3
"TOTAL Totalindeks";"2005M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2005M02";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2005M03";"Konsumprisindeks (2015=100)";81,7
"TOTAL Totalindeks";"2005M03";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2005M03";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2005M04";"Konsumprisindeks (2015=100)";82,1
"TOTAL Totalindeks";"2005M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2005M04";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2005M05";"Konsumprisindeks (2015=100)";82,4
"TOTAL Totalindeks";"2005M05";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2005M05";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2005M06";"Konsumprisindeks (2015=100)";82,4
"TOTAL Totalindeks";"2005M06";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2005M06";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2005M07";"Konsumprisindeks (2015=100)";82,2
"TOTAL Totalindeks";"2005M07";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2005M07";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2005M08";"Konsumprisindeks (2015=100)";82,3
"TOTAL Totalindeks";"2005M08";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2005M08";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2005M09";"Konsumprisindeks (2015=100)";82,9
"TOTAL Totalindeks";"2005M09";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2005M09";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2005M10";"Konsumprisindeks (2015=100)";83
"TOTAL Totalindeks";"2005M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2005M10";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2005M11";"Konsumprisindeks (2015=100)";83
"TOTAL Totalindeks";"2005M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2005M11";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2005M12";"Konsumprisindeks (2015=100)";82,9
"TOTAL Totalindeks";"2005M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2005M12";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2006M01";"Konsumprisindeks (2015=100)";82,7
"TOTAL Totalindeks";"2006M01";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2006M01";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2006M02";"Konsumprisindeks (2015=100)";83,4
"TOTAL Totalindeks";"2006M02";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2006M02";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2006M03";"Konsumprisindeks (2015=100)";83,6
"TOTAL Totalindeks";"2006M03";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2006M03";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2006M04";"Konsumprisindeks (2015=100)";84,3
"TOTAL Totalindeks";"2006M04";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2006M04";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2006M05";"Konsumprisindeks (2015=100)";84,3
"TOTAL Totalindeks";"2006M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2006M05";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2006M06";"Konsumprisindeks (2015=100)";84,2
"TOTAL Totalindeks";"2006M06";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2006M06";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2006M07";"Konsumprisindeks (2015=100)";83,9
"TOTAL Totalindeks";"2006M07";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2006M07";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2006M08";"Konsumprisindeks (2015=100)";83,9
"TOTAL Totalindeks";"2006M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2006M08";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2006M09";"Konsumprisindeks (2015=100)";85,1
"TOTAL Totalindeks";"2006M09";"Månedsendring (prosent)";1,4
"TOTAL Totalindeks";"2006M09";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2006M10";"Konsumprisindeks (2015=100)";85,2
"TOTAL Totalindeks";"2006M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2006M10";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2006M11";"Konsumprisindeks (2015=100)";85,1
"TOTAL Totalindeks";"2006M11";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2006M11";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2006M12";"Konsumprisindeks (2015=100)";84,7
"TOTAL Totalindeks";"2006M12";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2006M12";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2007M01";"Konsumprisindeks (2015=100)";83,7
"TOTAL Totalindeks";"2007M01";"Månedsendring (prosent)";-1,2
"TOTAL Totalindeks";"2007M01";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2007M02";"Konsumprisindeks (2015=100)";84
"TOTAL Totalindeks";"2007M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2007M02";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"2007M03";"Konsumprisindeks (2015=100)";84,5
"TOTAL Totalindeks";"2007M03";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2007M03";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2007M04";"Konsumprisindeks (2015=100)";84,5
"TOTAL Totalindeks";"2007M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2007M04";"12-måneders endring (prosent)";0,2
"TOTAL Totalindeks";"2007M05";"Konsumprisindeks (2015=100)";84,6
"TOTAL Totalindeks";"2007M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2007M05";"12-måneders endring (prosent)";0,4
"TOTAL Totalindeks";"2007M06";"Konsumprisindeks (2015=100)";84,5
"TOTAL Totalindeks";"2007M06";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2007M06";"12-måneders endring (prosent)";0,4
"TOTAL Totalindeks";"2007M07";"Konsumprisindeks (2015=100)";84,3
"TOTAL Totalindeks";"2007M07";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2007M07";"12-måneders endring (prosent)";0,5
"TOTAL Totalindeks";"2007M08";"Konsumprisindeks (2015=100)";84,2
"TOTAL Totalindeks";"2007M08";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2007M08";"12-måneders endring (prosent)";0,4
"TOTAL Totalindeks";"2007M09";"Konsumprisindeks (2015=100)";84,8
"TOTAL Totalindeks";"2007M09";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2007M09";"12-måneders endring (prosent)";-0,4
"TOTAL Totalindeks";"2007M10";"Konsumprisindeks (2015=100)";85
"TOTAL Totalindeks";"2007M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2007M10";"12-måneders endring (prosent)";-0,2
"TOTAL Totalindeks";"2007M11";"Konsumprisindeks (2015=100)";86,4
"TOTAL Totalindeks";"2007M11";"Månedsendring (prosent)";1,6
"TOTAL Totalindeks";"2007M11";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2007M12";"Konsumprisindeks (2015=100)";87,1
"TOTAL Totalindeks";"2007M12";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2007M12";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2008M01";"Konsumprisindeks (2015=100)";86,7
"TOTAL Totalindeks";"2008M01";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2008M01";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2008M02";"Konsumprisindeks (2015=100)";87,2
"TOTAL Totalindeks";"2008M02";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2008M02";"12-måneders endring (prosent)";3,8
"TOTAL Totalindeks";"2008M03";"Konsumprisindeks (2015=100)";87,2
"TOTAL Totalindeks";"2008M03";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2008M03";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2008M04";"Konsumprisindeks (2015=100)";87,2
"TOTAL Totalindeks";"2008M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2008M04";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2008M05";"Konsumprisindeks (2015=100)";87,2
"TOTAL Totalindeks";"2008M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2008M05";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2008M06";"Konsumprisindeks (2015=100)";87,4
"TOTAL Totalindeks";"2008M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2008M06";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2008M07";"Konsumprisindeks (2015=100)";87,9
"TOTAL Totalindeks";"2008M07";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2008M07";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"2008M08";"Konsumprisindeks (2015=100)";88
"TOTAL Totalindeks";"2008M08";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2008M08";"12-måneders endring (prosent)";4,5
"TOTAL Totalindeks";"2008M09";"Konsumprisindeks (2015=100)";89,3
"TOTAL Totalindeks";"2008M09";"Månedsendring (prosent)";1,5
"TOTAL Totalindeks";"2008M09";"12-måneders endring (prosent)";5,3
"TOTAL Totalindeks";"2008M10";"Konsumprisindeks (2015=100)";89,6
"TOTAL Totalindeks";"2008M10";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2008M10";"12-måneders endring (prosent)";5,4
"TOTAL Totalindeks";"2008M11";"Konsumprisindeks (2015=100)";89,1
"TOTAL Totalindeks";"2008M11";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2008M11";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2008M12";"Konsumprisindeks (2015=100)";89
"TOTAL Totalindeks";"2008M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2008M12";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2009M01";"Konsumprisindeks (2015=100)";88,7
"TOTAL Totalindeks";"2009M01";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2009M01";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2009M02";"Konsumprisindeks (2015=100)";89,4
"TOTAL Totalindeks";"2009M02";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2009M02";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2009M03";"Konsumprisindeks (2015=100)";89,4
"TOTAL Totalindeks";"2009M03";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2009M03";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2009M04";"Konsumprisindeks (2015=100)";89,7
"TOTAL Totalindeks";"2009M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2009M04";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2009M05";"Konsumprisindeks (2015=100)";89,9
"TOTAL Totalindeks";"2009M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2009M05";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2009M06";"Konsumprisindeks (2015=100)";90,4
"TOTAL Totalindeks";"2009M06";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2009M06";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2009M07";"Konsumprisindeks (2015=100)";89,9
"TOTAL Totalindeks";"2009M07";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2009M07";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2009M08";"Konsumprisindeks (2015=100)";89,7
"TOTAL Totalindeks";"2009M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2009M08";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2009M09";"Konsumprisindeks (2015=100)";90,4
"TOTAL Totalindeks";"2009M09";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2009M09";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2009M10";"Konsumprisindeks (2015=100)";90,2
"TOTAL Totalindeks";"2009M10";"Månedsendring (prosent)";-0,2
