"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1982M05";"12-måneders endring (prosent)";11,2
"TOTAL Totalindeks";"1982M06";"Konsumprisindeks (2015=100)";36,1
"TOTAL Totalindeks";"1982M06";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1982M06";"12-måneders endring (prosent)";10,7
"TOTAL Totalindeks";"1982M07";"Konsumprisindeks (2015=100)";36,7
"TOTAL Totalindeks";"1982M07";"Månedsendring (prosent)";1,7
"TOTAL Totalindeks";"1982M07";"12-måneders endring (prosent)";10,9
"TOTAL Totalindeks";"1982M08";"Konsumprisindeks (2015=100)";36,7
"TOTAL Totalindeks";"1982M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1982M08";"12-måneders endring (prosent)";10,9
"TOTAL Totalindeks";"1982M09";"Konsumprisindeks (2015=100)";37
"TOTAL Totalindeks";"1982M09";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1982M09";"12-måneders endring (prosent)";10,8
"TOTAL Totalindeks";"1982M10";"Konsumprisindeks (2015=100)";37,3
"TOTAL Totalindeks";"1982M10";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1982M10";"12-måneders endring (prosent)";11,3
"TOTAL Totalindeks";"1982M11";"Konsumprisindeks (2015=100)";37,5
"TOTAL Totalindeks";"1982M11";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1982M11";"12-måneders endring (prosent)";11,6
"TOTAL Totalindeks";"1982M12";"Konsumprisindeks (2015=100)";37,7
"TOTAL Totalindeks";"1982M12";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1982M12";"12-måneders endring (prosent)";11,9
"TOTAL Totalindeks";"1983M01";"Konsumprisindeks (2015=100)";38,3
"TOTAL Totalindeks";"1983M01";"Månedsendring (prosent)";1,6
"TOTAL Totalindeks";"1983M01";"12-måneders endring (prosent)";10,1
"TOTAL Totalindeks";"1983M02";"Konsumprisindeks (2015=100)";38,5
"TOTAL Totalindeks";"1983M02";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1983M02";"12-måneders endring (prosent)";10
"TOTAL Totalindeks";"1983M03";"Konsumprisindeks (2015=100)";38,9
"TOTAL Totalindeks";"1983M03";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1983M03";"12-måneders endring (prosent)";9,3
"TOTAL Totalindeks";"1983M04";"Konsumprisindeks (2015=100)";39
"TOTAL Totalindeks";"1983M04";"Månedsendring (prosent)";0,3
