07459: Befolkning, etter region, statistikkvariabel, år og alder;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Personer;;;;;;;;;;;;;;;;;;;;
;2023;;;;;;;;;;;;;;;;;;;;
;0-4 år;5-9 år;10-14 år;15-19 år;20-24 år;25-29 år;30-34 år;35-39 år;40-44 år;45-49 år;50-54 år;55-59 år;60-64 år;65-69 år;70-74 år;75-79 år;80-84 år;85-89 år;90-94 år;95-99 år;100 år eller eldre
K-3805 Larvik;2192;2490;2861;2799;2444;2374;2823;3035;3061;3120;3491;3325;3276;3161;2852;2326;1333;780;390;99;14
K-3806 Porsgrunn;1698;1934;2180;2183;2107;2203;2414;2198;2342;2486;2754;2617;2227;2223;1930;1702;996;546;245;63;8
K-3807 Skien;2722;3012;3338;3363;3078;3187;3682;3516;3402;3681;4055;3912;3381;3284;2923;2674;1432;802;370;96;14
K-3808 Notodden;553;694;748;715;736;721;839;779;741;818;862;948;859;890;725;618;422;191;125;36;5
K-3811 Færder;1253;1436;1710;1704;1357;1139;1508;1602;1611;1679;2023;1965;2003;1825;1583;1369;788;456;208;63;4
K-3812 Siljan;119;127;152;129;118;107;158;136;144;165;161;157;169;162;109;120;63;49;23;6;1
K-3813 Bamble;616;718;828;890;789;691;884;830;737;868;1076;1015;955;929;865;794;394;200;73;18;2
K-3814 Kragerø;404;471;580;582;492;484;543;566;590;658;826;740;726;745;734;645;319;197;84;21;6
K-3815 Drangedal;176;198;246;257;247;209;193;217;230;271;318;302;279;274;247;207;115;52;35;16;2
K-3816 Nome;283;363;356;371;365;335;379;336;363;401;491;515;458;447;383;327;200;99;58;25;4
K-3817 Midt-Telemark;488;579;663;642;788;728;678;671;663;663;714;653;594;614;552;500;269;171;84;19;2
K-3818 Tinn;164;213;320;321;296;258;279;278;282;371;459;438;393;410;421;311;163;86;64;17;2
K-3819 Hjartdal;69;89;86;98;84;82;78;88;60;87;127;105;118;102;106;96;52;44;11;6;0
K-3820 Seljord;117;148;196;196;149;133;144;149;180;199;197;206;189;193;214;161;90;47;22;6;3
K-3821 Kviteseid;93;111;126;121;118;111;135;126;133;139;193;221;187;177;154;110;84;58;23;6;1
K-3822 Nissedal;58;86;92;75;63;53;65;77;76;88;119;103;105;112;114;80;34;26;12;4;0
K-3823 Fyresdal;48;57;87;78;53;49;66;63;69;76;97;85;97;96;72;64;36;17;11;3;0
K-3824 Tokke;91;96;132;136;106;113;130;114;101;139;157;159;191;156;132;105;62;44;22;10;2
K-3825 Vinje;183;204;235;206;200;238;225;230;204;221;273;284;241;257;210;197;120;67;27;9;1
K-4201 Risør;261;319;371;396;368;293;341;356;339;473;500;487;494;502;509;393;219;105;63;15;2
K-4202 Grimstad;1296;1468;1640;1609;1825;1715;1645;1523;1501;1636;1676;1513;1296;1168;1080;978;528;323;127;35;5
K-4203 Arendal;2064;2519;2936;2819;2437;2447;2769;2941;2918;3216;3312;3077;2897;2831;2467;2012;1189;674;279;74;13
K-4204 Kristiansand;6094;6837;7442;7199;8771;8368;8150;7644;7619;7306;7530;7259;6298;5581;4740;4031;2425;1403;693;158;21
K-4205 Lindesnes;1119;1385;1572;1577;1327;1266;1417;1384;1481;1500;1618;1607;1442;1399;1269;1017;572;326;149;45;7
K-4206 Farsund;483;573;629;619;567;547;541;582;580;625;711;665;568;573;571;500;288;150;70;15;3
K-4207 Flekkefjord;483;505;629;590;480;510;531;564;534;555;633;631;591;525;505;439;257;155;76;20;3
K-4211 Gjerstad;90;108;131;138;121;137;118;134;133;196;197;168;168;156;166;129;71;37;18;5;0
K-4212 Vegårshei;105;118;162;152;117;115;126;116;122;153;138;175;152;118;95;79;44;43;8;3;2
K-4213 Tvedestrand;253;297;376;374;320;300;333;352;387;429;418;404;459;441;394;343;148;93;49;9;5
K-4214 Froland;364;366;450;367;356;399;425;402;409;442;425;440;297;298;281;229;131;60;26;6;1
K-4215 Lillesand;541;700;837;720;629;584;649;702;786;757;780;775;705;654;570;494;316;137;67;15;1
K-4216 Birkenes;296;375;407;379;325;346;326;340;374;366;359;337;253;231;238;216;125;55;29;13;0
K-4217 Åmli;94;112;99;91;101;81;93;85;100;133;124;139;107;119;120;82;49;44;12;1;0
K-4218 Iveland;83;96;108;67;72;68;102;93;73;94;92;98;81;73;59;43;22;10;5;5;0
K-4219 Evje og Hornnes;190;239;289;256;196;222;216;264;289;268;220;229;228;231;215;164;103;54;24;7;0
K-4220 Bygland;34;61;54;63;63;50;60;55;66;90;89;70;84;86;99;59;30;15;6;2;0
K-4221 Valle;59;48;58;76;67;68;61;48;80;67;87;74;87;95;81;59;38;17;5;5;0
K-4222 Bykle;37;43;53;50;62;63;71;67;70;73;86;83;59;67;43;35;17;8;5;3;0
K-4223 Vennesla;867;957;1063;952;911;1049;1128;1013;1073;963;1013;938;864;746;621;526;327;172;84;27;0
K-4224 Åseral;40;53;60;59;62;56;46;39;58;47;69;82;71;48;41;31;19;18;8;4;0
K-4225 Lyngdal;602;756;779;790;674;613;640;657;707;681;760;613;546;538;509;425;246;131;65;17;2
K-4226 Hægebostad;99;126;111;115;101;100;104;112;119;128;119;107;87;84;77;64;51;25;16;4;1
K-4227 Kvinesdal;307;361;413;348;346;331;411;355;359;359;410;435;383;337;273;268;175;97;40;12;4
K-4228 Sirdal;83;109;141;109;120;100;109;125;111;103;137;118;101;105;91;83;39;28;15;9;1
K-1101 Eigersund;813;856;1013;941;904;868;945;956;930;971;1068;936;888;821;815;595;363;211;88;24;5
K-1103 Stavanger;7776;8822;9256;8927;9060;10383;10935;10812;10396;10039;9728;9151;8037;7004;5791;4678;2711;1473;792;211;29
K-1106 Haugesund;1788;2080;2271;2330;2308;2392;2482;2565;2712;2717;2815;2411;2118;2010;1804;1413;852;463;249;60;15
K-1108 Sandnes;5115;5611;5870;5330;4742;5052;6128;6707;6269;5702;5367;4906;4257;3676;2918;2317;1358;745;372;99;7
K-1111 Sokndal;169;200;253;223;153;187;198;182;193;209;198;242;204;216;174;143;82;56;34;8;0
K-1112 Lund;184;202;225;212;178;173;189;179;185;178;211;233;206;199;156;123;81;63;21;7;1
K-1114 Bjerkreim;133;211;215;215;174;130;166;221;180;180;163;209;176;145;138;91;57;30;14;0;0
K-1119 Hå;1233;1416;1556;1384;1170;1173;1322;1381;1381;1237;1269;1124;974;921;801;602;380;202;98;23;2
K-1120 Klepp;1318;1386;1493;1434;1269;1449;1545;1449;1530;1340;1454;1259;912;763;716;655;373;184;63;20;3
K-1121 Time;1192;1369;1475;1266;1231;1255;1421;1406;1379;1268;1286;1100;1039;985;757;620;358;242;103;27;2
K-1122 Gjesdal;766;947;1031;757;697;710;923;948;937;808;769;762;656;540;400;322;192;86;40;10;1
K-1124 Sola;1761;1923;2004;1788;1662;1793;2089;2239;2104;1851;1913;1744;1514;1196;951;811;514;304;122;28;4
K-1127 Randaberg;652;791;810;805;768;737;775;766;739;728;813;782;653;505;451;368;280;173;53;16;6
K-1130 Strand;829;912;989;937;806;767;945;881;865;871;902;760;718;654;565;498;301;174;75;23;2
K-1133 Hjelmeland;122;158;183;170;150;120;142;161;166;148;161;175;161;173;156;123;77;46;21;4;2
K-1134 Suldal;189;242;261;257;194;181;198;188;241;245;231;258;257;246;233;177;101;74;33;8;1
K-1135 Sauda;217;266;301;281;232;222;252;289;263;296;287;312;314;314;213;190;134;89;61;9;1
K-1144 Kvitsøy;23;28;31;28;36;28;26;22;24;37;40;44;32;38;21;30;24;14;8;1;0
K-1145 Bokn;37;40;50;58;64;46;46;39;38;63;69;62;58;51;45;45;24;18;11;3;1
K-1146 Tysvær;674;820;871;803;673;610;701;743;762;734;767;685;605;525;511;450;261;143;52;14;1
K-1149 Karmøy;2318;2700;3006;2809;2496;2464;2832;2676;2862;2771;3089;2724;2318;2231;2045;1631;1021;568;267;64;11
K-1151 Utsira;4;13;14;14;10;10;6;12;19;12;10;14;25;14;11;9;3;6;1;1;0
K-1160 Vindafjord;472;549;607;547;512;488;556;573;566;541;575;571;553;529;427;310;210;143;88;26;1
K-4601 Bergen;14987;15412;15798;15814;22463;24527;23396;20544;19061;18348;18881;17297;15551;13195;11420;10063;6197;3775;1973;538;90
K-4602 Kinn;779;972;1207;1143;1040;966;1013;1059;1045;1026;1196;1160;1137;1063;869;675;403;243;139;35;9
K-4611 Etne;225;242;285;235;243;175;218;249;250;258;280;252;255;249;212;183;127;71;37;24;3
K-4612 Sveio;312;372;448;350;342;297;332;370;403;382;379;311;324;363;314;198;123;66;38;6;2
K-4613 Bømlo;642;779;879;870;698;645;723;755;794;768;825;747;655;656;663;498;253;158;87;32;5
K-4614 Stord;1022;1242;1343;1231;1148;1093;1258;1224;1203;1261;1310;1256;1041;943;893;735;460;256;136;37;6
K-4615 Fitjar;148;201;217;237;179;136;168;203;224;242;181;186;189;221;193;123;63;38;27;3;2
K-4616 Tysnes;165;172;172;145;126;134;175;172;155;160;159;191;185;202;221;170;96;70;28;10;2
K-4617 Kvinnherad;627;661;840;864;778;698;626;701;776;794;957;867;821;792;797;643;411;267;94;37;7
K-4618 Ullensvang;475;549;692;640;590;587;612;598;679;673;740;828;761;714;612;598;391;250;119;33;7
K-4619 Eidfjord;51;57;51;49;38;54;58;50;49;57;64;81;70;71;54;48;31;15;11;2;1
K-4620 Ulvik;40;68;68;59;48;49;54;47;64;53;81;76;75;68;68;68;43;15;7;5;0
K-4621 Voss;865;925;995;987;883;875;1036;1080;961;921;998;988;998;1004;875;737;469;301;196;46;4
K-4622 Kvam;455;511;516;538;463;403;464;485;497;491;565;551;543;549;491;430;292;174;79;29;5
K-4623 Samnanger;118;149;156;141;132;124;128;137;167;162;147;165;188;162;166;127;56;35;21;10;4
K-4624 Bjørnafjorden;1377;1696;1865;1720;1381;1403;1682;1809;1784;1750;1624;1520;1382;1323;1235;982;571;317;129;38;8
K-4625 Austevoll;300;405;395;327;302;271;319;366;356;343;294;315;280;322;254;218;118;67;26;17;2
