"statistikkvariabel"	"region"	"fagutdanning"	"sektor"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
"Sysselsatte"	"K.3205 Lillestrøm"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3205 Lillestrøm"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	10	9	..	..	..	6	..	4	3	3	5	3	3	3	3	3	3
"Sysselsatte"	"K.3205 Lillestrøm"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	0	3	3	0	3	3	3	3	0	3
"Sysselsatte"	"K.3205 Lillestrøm"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3207 Nordre Follo"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	33	34	33	38	38	40	44	40	45	44	44	53	55	48	51	51	61
"Sysselsatte"	"K.3207 Nordre Follo"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3207 Nordre Follo"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	..	5	7	5	5	4	5	5	0	3	3	3	3	3	0	0	0
"Sysselsatte"	"K.3207 Nordre Follo"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	3	3	3	3	0	0	0	0	0
"Sysselsatte"	"K.3207 Nordre Follo"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3209 Ullensaker"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	12	12	13	15	13	16	16	18	18	20	23	25	30	38	35	43	38
"Sysselsatte"	"K.3209 Ullensaker"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3209 Ullensaker"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	..	0	..	0	0	0	0	0	0	0	0	0	0	0	0	3
"Sysselsatte"	"K.3209 Ullensaker"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	0	0	..	..	..	0	0	0	0	0	0	3	3	3	3
"Sysselsatte"	"K.3209 Ullensaker"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3212 Nesodden"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	6	8	9	10	7	8	8	12	14	14	13	15	13	14	15	17	18
"Sysselsatte"	"K.3212 Nesodden"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3212 Nesodden"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	5	5	5	5	5	4	6	5	6	6	5	5	4	4	4	4	3
"Sysselsatte"	"K.3212 Nesodden"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3212 Nesodden"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3214 Frogn"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	9	10	8	9	11	12	13	14	14	13	12	13	7	14	13	12	15
"Sysselsatte"	"K.3214 Frogn"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3214 Frogn"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3214 Frogn"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	..	..	0	..	..	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3214 Frogn"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3216 Vestby"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	8	6	5	9	8	8	9	10	11	11	12	12	12	13	14	14	15
"Sysselsatte"	"K.3216 Vestby"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3216 Vestby"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3216 Vestby"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	..	..	..	0	0	0	3	0	0	0	0	3	0
"Sysselsatte"	"K.3216 Vestby"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3218 Ås"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	13	13	16	14	15	14	17	16	17	18	20	20	16	23	21	19	18
"Sysselsatte"	"K.3218 Ås"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3218 Ås"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3218 Ås"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	0	0	..	..	3	3	3	3	3	0	0	0	3	0
"Sysselsatte"	"K.3218 Ås"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3220 Enebakk"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	7	6	7	10	10	9	7	9	9	10	10	9	9	11	10	13	13
"Sysselsatte"	"K.3220 Enebakk"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3220 Enebakk"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3220 Enebakk"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3220 Enebakk"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3222 Lørenskog"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	16	19	19	20	21	22	24	23	22	25	22	25	30	38	42	42	41
"Sysselsatte"	"K.3222 Lørenskog"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3222 Lørenskog"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	126	130	137	155	153	154	148	158	163	160	144	151	144	156	164	162	174
"Sysselsatte"	"K.3222 Lørenskog"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3222 Lørenskog"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3224 Rælingen"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	10	10	7	14	15	15	13	15	16	16	19	21	21	15	19	10	21
"Sysselsatte"	"K.3224 Rælingen"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3224 Rælingen"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3224 Rælingen"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3224 Rælingen"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3226 Aurskog-Høland"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	11	10	10	..	..	..	..	11	14	13	14	13	13	13	17	15	12
"Sysselsatte"	"K.3226 Aurskog-Høland"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3226 Aurskog-Høland"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3226 Aurskog-Høland"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"Sysselsatte"	"K.3226 Aurskog-Høland"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3228 Nes"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	10	12	12	11	13	12	15	14	13	15	14	13	17	17	14	15	14
"Sysselsatte"	"K.3228 Nes"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3228 Nes"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	..	..	..	..	..	..	..	0	3	3	0	0	0	0	0	3	0
"Sysselsatte"	"K.3228 Nes"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"Sysselsatte"	"K.3228 Nes"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3230 Gjerdrum"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	4	5	8	6	7	7	6	6	5	7	9	6	9	7	7	8
"Sysselsatte"	"K.3230 Gjerdrum"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3230 Gjerdrum"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3230 Gjerdrum"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3230 Gjerdrum"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3232 Nittedal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	13	14	13	16	15	15	15	17	16	17	17	20	18	20	21	13	22
"Sysselsatte"	"K.3232 Nittedal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3232 Nittedal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	..	0	0	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3232 Nittedal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3232 Nittedal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3234 Lunner"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	5	5	5	5	5	5	5	5	6	7	6	6	6	7	6	9	8
"Sysselsatte"	"K.3234 Lunner"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3234 Lunner"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3234 Lunner"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3234 Lunner"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3236 Jevnaker"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	3	3	..	3	4	6	5	3	3	0	0	3	5	5	4	4	3
"Sysselsatte"	"K.3236 Jevnaker"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3236 Jevnaker"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3236 Jevnaker"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	..	0	0	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3236 Jevnaker"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3238 Nannestad"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	11	11	11	10	12	12	13	12	13	13	13	14	14	16	15	17	18
"Sysselsatte"	"K.3238 Nannestad"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3238 Nannestad"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3238 Nannestad"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3238 Nannestad"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3240 Eidsvoll"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	8	11	9	8	8	7	8	7	8	9	9	12	11	12	14	14	12
