"07199: Spotpris metaller, etter måned og statistikkvariabel"

"måned";"Aluminium (kr per tonn)"
"2006M12";14100.2
"2007M01";14011.4
"2007M02";13378.5
"2007M03";13423.7
"2007M04";13363.5
"2007M05";13177.0
"2007M06";12928.1
"2007M07";12487.3
"2007M08";12466.6
"2007M09";12119.4
"2007M10";11798.0
"2007M11";12527.9
"2007M12";12529.4
"2008M01";12537.4
"2008M02";13466.1
"2008M03";13548.0
"2008M04";13879.6
"2008M05";13452.7
"2008M06";13469.3
"2008M07";13252.8
"2008M08";13071.7
"2008M09";12766.9
"2008M10";11250.6
"2008M11";9420.0
"2008M12";7836.3
"2009M01";7686.9
"2009M02";7486.2
"2009M03";7844.3
"2009M04";8554.7
"2009M05";7826.9
"2009M06";8334.6
"2009M07";9460.3
"2009M08";10504.9
"2009M09";9872.7
"2009M10";9491.2
"2009M11";9901.8
"2009M12";10852.1
"2010M01";11248.6
"2010M02";11190.8
"2010M03";12011.4
"2010M04";12673.7
"2010M05";12020.8
"2010M06";11902.4
"2010M07";12566.4
"2010M08";13451.5
"2010M09";13351.4
"2010M10";12973.8
"2010M11";13164.0
"2010M12";13478.6
"2011M01";13292.3
"2011M02";13370.4
"2011M03";13312.5
"2011M04";13110.9
"2011M05";13177.4
"2011M06";12800.2
"2011M07";12663.6
"2011M08";12455.6
"2011M09";12775.1
"2011M10";12226.5
"2011M11";11403.5
"2011M12";11412.0
"2012M01";12708.6
"2012M02";12641.2
"2012M03";12449.9
"2012M04";11730.4
"2012M05";11793.9
"2012M06";11374.5
"2012M07";11405.7
"2012M08";10893.0
"2012M09";11755.0
"2012M10";11170.6
"2012M11";11134.0
"2012M12";11694.5
"2013M01";11376.9
"2013M02";11369.9
"2013M03";11026.4
"2013M04";10786.0
"2013M05";10645.9
"2013M06";10720.1
"2013M07";10676.9
"2013M08";10801.9
"2013M09";10444.0
"2013M10";10796.7
"2013M11";10628.1
"2013M12";10624.2
"2014M01";10682.9
"2014M02";10415.6
"2014M03";10248.5
"2014M04";10757.0
"2014M05";10387.7
"2014M06";11077.4
"2014M07";12069.1
"2014M08";12592.1
"2014M09";12646.6
"2014M10";12756.1
"2014M11";13995.4
"2014M12";13765.9
"2015M01";14000.8
"2015M02";13970.3
"2015M03";14246.1
"2015M04";14247.6
"2015M05";13938.1
"2015M06";13514.0
"2015M07";13647.5
"2015M08";13909.7
"2015M09";13936.4
"2015M10";13743.8
"2015M11";13539.1
"2015M12";13834.2
"2016M01";13799.4
"2016M02";13422.1
"2016M03";13440.5
"2016M04";12743.2
"2016M05";12603.5
"2016M06";12719.6
"2016M07";12898.3
"2016M08";13120.6
"2016M09";12796.6
"2016M10";12695.3
"2016M11";13361.5
"2016M12";14062.0
"2017M01";13386.4
"2017M02";13445.9
"2017M03";14329.6
"2017M04";14436.5
"2017M05";14143.7
"2017M06";13595.0
"2017M07";13312.0
"2017M08";13657.2
"2017M09";13667.4
"2017M10";14459.8
"2017M11";15535.4
"2017M12";14924.8
"2018M01";14450.0
"2018M02";14295.7
"2018M03";14274.0
"2018M04";14811.9
"2018M05";15107.2
"2018M06";13803.0
"2018M07";14282.3
"2018M08";13484.0
"2018M09";12260.8
"2018M10";11234.5
"2018M11";11418.3
"2018M12";12282.9
"2019M01";12089.3
"2019M02";12668.0
"2019M03";12360.2
"2019M04";11711.1
"2019M05";11560.1
"2019M06";10560.2
"2019M07";10848.6
"2019M08";10785.8
"2019M09";10593.2
"2019M10";11319.4
"2019M11";12087.1
"2019M12";12288.7
"2020M01";12329.5
"2020M02";12581.0
"2020M03";12922.6
"2020M04";12201.0
"2020M05";12135.9
"2020M06";11532.6
"2020M07";11612.1
"2020M08";11791.2
"2020M09";13466.0
"2020M10";14098.3
"2020M11";14573.4
"2020M12";16304.4
"2021M01";16676.4
"2021M02";17666.3
"2021M03";18651.6
"2021M04";16531.4
"2021M05";17262.7
"2021M06";17886.4
"2021M07";19612.6
"2021M08";19898.2
"2021M09";21349.3
"2021M10";22757.0
"2021M11";21526.5
"2021M12";20721.8
"2022M01";20700.0
"2022M02";23085.8
"2022M03";25130.0
"2022M04";23336.0
"2022M05";19011.1
"2022M06";17646.6
"2022M07";16813.2
"2022M08";17035.5
"2022M09";18029.9
"2022M10";18267.6
"2022M11";17920.7
"2022M12";18760.8
"2023M01";20845.0
"2023M02";21332.7
"2023M03";21195.3
"2023M04";20410.3
"2023M05";20966.5
"2023M06";21040.9
"2023M07";18675.4
"2023M08";16646.9
"2023M09";16064.5
"2023M10";16949.8
"2023M11";18242.9
