"14061: Boligøkonomi. Husholdninger, etter statistikkvariabel, inntektsgruppe og år"

"statistikkvariabel";"inntektsgruppe";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Boutgifter utgjør 20-29 prosent av inntekt (prosent)";"Tredje inntektskvartil";31.9;29.9;27.8;27.3;27.4;27.2;25.8;26.4;29.0;29.9;33.7;32.4;29.9
"Boutgifter utgjør 20-29 prosent av inntekt (prosent)";"Høyeste inntektskvartil";22.7;23.3;24.2;23.8;21.9;22.6;24.2;23.0;23.8;23.2;26.7;27.2;29.3
"Boutgifter utgjør 30-39 prosent av inntekt (prosent)";"Laveste inntektskvartil";15.0;18.2;17.2;17.9;14.7;16.7;18.2;18.0;18.9;19.7;20.3;20.7;20.1
"Boutgifter utgjør 30-39 prosent av inntekt (prosent)";"Andre inntektskvartil";15.2;12.8;14.6;13.0;12.9;12.1;14.9;13.3;15.7;14.5;14.9;18.0;19.2
"Boutgifter utgjør 30-39 prosent av inntekt (prosent)";"Tredje inntektskvartil";14.1;12.1;12.1;12.4;12.7;12.9;11.8;11.7;13.6;12.1;15.9;16.3;19.4
"Boutgifter utgjør 30-39 prosent av inntekt (prosent)";"Høyeste inntektskvartil";8.0;9.1;7.6;8.9;8.0;6.4;6.7;6.4;6.5;7.9;9.2;12.2;15.1
"Boutgifter utgjør 40-59 prosent av inntekt (prosent)";"Laveste inntektskvartil";16.6;15.4;19.0;17.3;17.3;18.7;17.5;19.6;19.5;18.7;21.1;22.9;23.1
"Boutgifter utgjør 40-59 prosent av inntekt (prosent)";"Andre inntektskvartil";6.9;5.9;6.6;6.2;5.8;5.9;6.4;5.8;7.5;5.2;6.6;10.6;11.0
"Boutgifter utgjør 40-59 prosent av inntekt (prosent)";"Tredje inntektskvartil";2.9;3.7;4.5;5.3;3.4;2.7;3.7;3.6;3.0;2.9;3.1;5.5;8.5
"Boutgifter utgjør 40-59 prosent av inntekt (prosent)";"Høyeste inntektskvartil";3.6;2.7;2.0;2.1;2.5;1.2;1.6;2.3;2.0;3.5;2.4;3.8;5.0
"Boutgifter utgjør 60 prosent eller mer av inntekt (prosent)";"Laveste inntektskvartil";17.0;13.6;13.0;13.3;16.3;14.7;15.4;14.9;14.3;14.8;14.5;18.9;19.8
"Boutgifter utgjør 60 prosent eller mer av inntekt (prosent)";"Andre inntektskvartil";1.4;0.6;0.8;0.6;1.5;1.1;0.6;0.5;0.8;0.8;1.0;1.7;1.5
"Boutgifter utgjør 60 prosent eller mer av inntekt (prosent)";"Tredje inntektskvartil";1.1;0.2;0.7;0.6;0.8;0.4;0.5;0.3;0.2;0.7;0.5;0.5;0.8
"Boutgifter utgjør 60 prosent eller mer av inntekt (prosent)";"Høyeste inntektskvartil";0.6;0.7;0.5;0.7;0.0;0.0;0.3;0.2;0.5;0.0;0.1;0.8;0.9
"Antall husholdninger som svarte";"Laveste inntektskvartil";1162;1480;1384;1619;1365;1498;1351;1351;1380;1311;1344;1220;1163
"Antall husholdninger som svarte";"Andre inntektskvartil";1131;1409;1369;1643;1412;1537;1387;1341;1366;1347;1347;1315;1219
"Antall husholdninger som svarte";"Tredje inntektskvartil";1158;1557;1622;1892;1705;1770;1541;1505;1538;1563;1523;1406;1453
"Antall husholdninger som svarte";"Høyeste inntektskvartil";1413;1740;1765;2219;1911;2054;1900;1783;1795;1810;1817;1795;1696
