"kjønn"	"alder"	"år"	"Andel dagligrøykere (prosent)"	"Andel av-og-til-røykere (prosent)"	"Antall respondenter"
"Begge kjønn"	"I alt"	"1973"	42	9	..
"Begge kjønn"	"I alt"	"1974"	41	9	..
"Begge kjønn"	"I alt"	"1975"	41	9	..
"Begge kjønn"	"I alt"	"1976"	39	9	..
"Begge kjønn"	"I alt"	"1977"	38	10	..
"Begge kjønn"	"I alt"	"1978"	38	10	..
"Begge kjønn"	"I alt"	"1979"	37	10	..
"Begge kjønn"	"I alt"	"1980"	36	9	..
"Begge kjønn"	"I alt"	"1981"	36	9	..
"Begge kjønn"	"I alt"	"1982"	36	9	..
"Begge kjønn"	"I alt"	"1983"	37	9	..
"Begge kjønn"	"I alt"	"1984"	37	8	..
"Begge kjønn"	"I alt"	"1985"	37	9	..
"Begge kjønn"	"I alt"	"1986"	36	10	..
"Begge kjønn"	"I alt"	"1987"	37	9	..
"Begge kjønn"	"I alt"	"1988"	37	9	..
"Begge kjønn"	"I alt"	"1989"	36	9	..
"Begge kjønn"	"I alt"	"1990"	35	9	..
"Begge kjønn"	"I alt"	"1991"	35	10	..
"Begge kjønn"	"I alt"	"1992"	34	10	1890
"Begge kjønn"	"I alt"	"1993"	36	10	1775
"Begge kjønn"	"I alt"	"1994"	33	10	3448
"Begge kjønn"	"I alt"	"1995"	33	13	4234
"Begge kjønn"	"I alt"	"1996"	33	12	5286
"Begge kjønn"	"I alt"	"1997"	34	12	5309
"Begge kjønn"	"I alt"	"1998"	33	11	5223
"Begge kjønn"	"I alt"	"1999"	31	11	5104
"Begge kjønn"	"I alt"	"2000"	31	10	5208
"Begge kjønn"	"I alt"	"2001"	29	11	5216
"Begge kjønn"	"I alt"	"2002"	29	11	5485
"Begge kjønn"	"I alt"	"2003"	26	11	5288
"Begge kjønn"	"I alt"	"2004"	26	11	5243
"Begge kjønn"	"I alt"	"2005"	25	11	5225
"Begge kjønn"	"I alt"	"2006"	23	10	4968
"Begge kjønn"	"I alt"	"2007"	21	10	4997
"Begge kjønn"	"I alt"	"2008"	20	9	4637
"Begge kjønn"	"I alt"	"2009"	20	9	4728
"Begge kjønn"	"I alt"	"2010"	19	10	4358
"Begge kjønn"	"I alt"	"2011"	17	10	4626
"Begge kjønn"	"I alt"	"2012"	16	10	4609
"Begge kjønn"	"I alt"	"2013"	15	8	4597
"Begge kjønn"	"I alt"	"2014"	13	9	4552
"Begge kjønn"	"I alt"	"2015"	13	9	6537
"Begge kjønn"	"I alt"	"2016"	12	8	6031
"Begge kjønn"	"I alt"	"2017"	11	8	6255
"Begge kjønn"	"I alt"	"2018"	11	8	6091
"Begge kjønn"	"I alt"	"2019"	9	9	6042
"Begge kjønn"	"I alt"	"2020"	9	8	6186
"Begge kjønn"	"I alt"	"2021"	8	7	5850
"Begge kjønn"	"I alt"	"2022"	8	8	5399
"Begge kjønn"	"I alt"	"2023"	7	8	5294
"Begge kjønn"	"I alt"	"2024"	8	9	4878
"Begge kjønn"	"I alt"	"2025"	7	8	4604
"Begge kjønn"	"16-24 år"	"1973"	44	12	..
"Begge kjønn"	"16-24 år"	"1974"	42	12	..
"Begge kjønn"	"16-24 år"	"1975"	42	12	..
"Begge kjønn"	"16-24 år"	"1976"	39	12	..
"Begge kjønn"	"16-24 år"	"1977"	38	13	..
"Begge kjønn"	"16-24 år"	"1978"	36	14	..
"Begge kjønn"	"16-24 år"	"1979"	36	14	..
"Begge kjønn"	"16-24 år"	"1980"	35	12	..
"Begge kjønn"	"16-24 år"	"1981"	35	11	..
"Begge kjønn"	"16-24 år"	"1982"	33	12	..
"Begge kjønn"	"16-24 år"	"1983"	32	11	..
"Begge kjønn"	"16-24 år"	"1984"	32	12	..
"Begge kjønn"	"16-24 år"	"1985"	31	11	..
"Begge kjønn"	"16-24 år"	"1986"	32	12	..
"Begge kjønn"	"16-24 år"	"1987"	30	11	..
"Begge kjønn"	"16-24 år"	"1988"	30	11	..
"Begge kjønn"	"16-24 år"	"1989"	29	10	..
"Begge kjønn"	"16-24 år"	"1990"	29	11	..
"Begge kjønn"	"16-24 år"	"1991"	29	13	..
"Begge kjønn"	"16-24 år"	"1992"	29	15	305
"Begge kjønn"	"16-24 år"	"1993"	30	15	299
"Begge kjønn"	"16-24 år"	"1994"	27	15	550
"Begge kjønn"	"16-24 år"	"1995"	28	19	639
"Begge kjønn"	"16-24 år"	"1996"	28	16	903
"Begge kjønn"	"16-24 år"	"1997"	32	16	860
"Begge kjønn"	"16-24 år"	"1998"	31	18	787
"Begge kjønn"	"16-24 år"	"1999"	28	18	772
"Begge kjønn"	"16-24 år"	"2000"	32	15	806
"Begge kjønn"	"16-24 år"	"2001"	27	16	776
"Begge kjønn"	"16-24 år"	"2002"	28	17	808
"Begge kjønn"	"16-24 år"	"2003"	23	16	812
"Begge kjønn"	"16-24 år"	"2004"	25	13	852
"Begge kjønn"	"16-24 år"	"2005"	24	17	833
"Begge kjønn"	"16-24 år"	"2006"	20	13	763
"Begge kjønn"	"16-24 år"	"2007"	16	15	682
"Begge kjønn"	"16-24 år"	"2008"	15	13	650
"Begge kjønn"	"16-24 år"	"2009"	17	14	645
"Begge kjønn"	"16-24 år"	"2010"	12	14	579
"Begge kjønn"	"16-24 år"	"2011"	11	14	685
"Begge kjønn"	"16-24 år"	"2012"	7	13	660
"Begge kjønn"	"16-24 år"	"2013"	7	15	662
"Begge kjønn"	"16-24 år"	"2014"	5	12	678
"Begge kjønn"	"16-24 år"	"2015"	5	13	1189
"Begge kjønn"	"16-24 år"	"2016"	4	14	1144
"Begge kjønn"	"16-24 år"	"2017"	3	14	1152
"Begge kjønn"	"16-24 år"	"2018"	3	14	1087
"Begge kjønn"	"16-24 år"	"2019"	2	17	1100
"Begge kjønn"	"16-24 år"	"2020"	1	14	1046
"Begge kjønn"	"16-24 år"	"2021"	1	15	1013
"Begge kjønn"	"16-24 år"	"2022"	1	19	869
"Begge kjønn"	"16-24 år"	"2023"	3	17	868
"Begge kjønn"	"16-24 år"	"2024"	2	17	658
"Begge kjønn"	"16-24 år"	"2025"	1	21	653
"Begge kjønn"	"25-34 år"	"1973"	50	13	..
"Begge kjønn"	"25-34 år"	"1974"	49	12	..
"Begge kjønn"	"25-34 år"	"1975"	49	12	..
"Begge kjønn"	"25-34 år"	"1976"	46	13	..
"Begge kjønn"	"25-34 år"	"1977"	46	15	..
"Begge kjønn"	"25-34 år"	"1978"	46	14	..
"Begge kjønn"	"25-34 år"	"1979"	44	13	..
"Begge kjønn"	"25-34 år"	"1980"	43	13	..
"Begge kjønn"	"25-34 år"	"1981"	43	13	..
"Begge kjønn"	"25-34 år"	"1982"	43	13	..
"Begge kjønn"	"25-34 år"	"1983"	44	12	..
"Begge kjønn"	"25-34 år"	"1984"	44	12	..
"Begge kjønn"	"25-34 år"	"1985"	44	12	..
"Begge kjønn"	"25-34 år"	"1986"	44	13	..
"Begge kjønn"	"25-34 år"	"1987"	44	13	..
"Begge kjønn"	"25-34 år"	"1988"	42	12	..
"Begge kjønn"	"25-34 år"	"1989"	42	11	..
"Begge kjønn"	"25-34 år"	"1990"	41	10	..
"Begge kjønn"	"25-34 år"	"1991"	41	12	..
"Begge kjønn"	"25-34 år"	"1992"	41	14	366
"Begge kjønn"	"25-34 år"	"1993"	42	13	371
"Begge kjønn"	"25-34 år"	"1994"	39	12	749
"Begge kjønn"	"25-34 år"	"1995"	35	16	923
"Begge kjønn"	"25-34 år"	"1996"	34	14	1146
"Begge kjønn"	"25-34 år"	"1997"	36	15	1171
"Begge kjønn"	"25-34 år"	"1998"	36	13	1138
"Begge kjønn"	"25-34 år"	"1999"	33	13	1048
"Begge kjønn"	"25-34 år"	"2000"	30	14	1048
"Begge kjønn"	"25-34 år"	"2001"	30	16	1010
"Begge kjønn"	"25-34 år"	"2002"	29	14	1082
"Begge kjønn"	"25-34 år"	"2003"	26	15	1078
"Begge kjønn"	"25-34 år"	"2004"	26	11	1017
"Begge kjønn"	"25-34 år"	"2005"	22	16	994
"Begge kjønn"	"25-34 år"	"2006"	22	14	966
"Begge kjønn"	"25-34 år"	"2007"	18	14	806
"Begge kjønn"	"25-34 år"	"2008"	17	13	713
"Begge kjønn"	"25-34 år"	"2009"	20	14	725
"Begge kjønn"	"25-34 år"	"2010"	19	15	613
"Begge kjønn"	"25-34 år"	"2011"	15	16	660
"Begge kjønn"	"25-34 år"	"2012"	13	14	616
"Begge kjønn"	"25-34 år"	"2013"	12	11	637
"Begge kjønn"	"25-34 år"	"2014"	10	13	578
"Begge kjønn"	"25-34 år"	"2015"	9	12	1121
"Begge kjønn"	"25-34 år"	"2016"	10	12	987
"Begge kjønn"	"25-34 år"	"2017"	9	11	1095
"Begge kjønn"	"25-34 år"	"2018"	10	11	1082
"Begge kjønn"	"25-34 år"	"2019"	4	12	1052
"Begge kjønn"	"25-34 år"	"2020"	5	11	1081
"Begge kjønn"	"25-34 år"	"2021"	5	8	1075
"Begge kjønn"	"25-34 år"	"2022"	4	11	930
"Begge kjønn"	"25-34 år"	"2023"	4	11	938
"Begge kjønn"	"25-34 år"	"2024"	4	13	828
"Begge kjønn"	"25-34 år"	"2025"	3	11	763
"Begge kjønn"	"35-44 år"	"1973"	47	8	..
"Begge kjønn"	"35-44 år"	"1974"	45	9	..
"Begge kjønn"	"35-44 år"	"1975"	44	9	..
"Begge kjønn"	"35-44 år"	"1976"	42	11	..
"Begge kjønn"	"35-44 år"	"1977"	42	12	..
"Begge kjønn"	"35-44 år"	"1978"	41	12	..
"Begge kjønn"	"35-44 år"	"1979"	40	11	..
"Begge kjønn"	"35-44 år"	"1980"	40	9	..
"Begge kjønn"	"35-44 år"	"1981"	39	10	..
"Begge kjønn"	"35-44 år"	"1982"	40	10	..
"Begge kjønn"	"35-44 år"	"1983"	42	10	..
"Begge kjønn"	"35-44 år"	"1984"	43	9	..
"Begge kjønn"	"35-44 år"	"1985"	41	9	..
"Begge kjønn"	"35-44 år"	"1986"	40	10	..
"Begge kjønn"	"35-44 år"	"1987"	41	10	..
"Begge kjønn"	"35-44 år"	"1988"	43	10	..
"Begge kjønn"	"35-44 år"	"1989"	43	11	..
"Begge kjønn"	"35-44 år"	"1990"	43	11	..
"Begge kjønn"	"35-44 år"	"1991"	41	11	..
"Begge kjønn"	"35-44 år"	"1992"	39	11	402
"Begge kjønn"	"35-44 år"	"1993"	42	14	370
"Begge kjønn"	"35-44 år"	"1994"	40	12	696
"Begge kjønn"	"35-44 år"	"1995"	40	12	899
"Begge kjønn"	"35-44 år"	"1996"	36	14	1111
"Begge kjønn"	"35-44 år"	"1997"	36	13	1110
"Begge kjønn"	"35-44 år"	"1998"	36	11	1119
"Begge kjønn"	"35-44 år"	"1999"	36	13	1081
"Begge kjønn"	"35-44 år"	"2000"	37	10	1050
"Begge kjønn"	"35-44 år"	"2001"	32	12	1047
"Begge kjønn"	"35-44 år"	"2002"	31	13	1077
"Begge kjønn"	"35-44 år"	"2003"	29	12	1069
"Begge kjønn"	"35-44 år"	"2004"	29	13	1058
"Begge kjønn"	"35-44 år"	"2005"	28	11	1068
"Begge kjønn"	"35-44 år"	"2006"	26	11	958
"Begge kjønn"	"35-44 år"	"2007"	26	10	1061
"Begge kjønn"	"35-44 år"	"2008"	23	9	1002
"Begge kjønn"	"35-44 år"	"2009"	19	10	940
"Begge kjønn"	"35-44 år"	"2010"	18	11	927
"Begge kjønn"	"35-44 år"	"2011"	16	12	870
"Begge kjønn"	"35-44 år"	"2012"	15	12	826
"Begge kjønn"	"35-44 år"	"2013"	15	8	851
"Begge kjønn"	"35-44 år"	"2014"	12	8	811
"Begge kjønn"	"35-44 år"	"2015"	11	9	1074
"Begge kjønn"	"35-44 år"	"2016"	12	7	955
"Begge kjønn"	"35-44 år"	"2017"	12	9	950
"Begge kjønn"	"35-44 år"	"2018"	11	9	993
"Begge kjønn"	"35-44 år"	"2019"	10	9	931
"Begge kjønn"	"35-44 år"	"2020"	9	7	932
"Begge kjønn"	"35-44 år"	"2021"	6	7	833
"Begge kjønn"	"35-44 år"	"2022"	8	6	834
"Begge kjønn"	"35-44 år"	"2023"	6	7	798
"Begge kjønn"	"35-44 år"	"2024"	7	8	846
"Begge kjønn"	"35-44 år"	"2025"	5	7	770
"Begge kjønn"	"45-54 år"	"1973"	47	6	..
"Begge kjønn"	"45-54 år"	"1974"	46	7	..
