"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M05";"Arbeidsstyrken i prosent av befolkningen";69,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M05";"Sysselsatte i prosent av befolkningen";66,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M05";"Arbeidsledige i prosent av arbeidsstyrken";3,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M05";"Befolkningen (1000 personer)";1856
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Arbeidsstyrken (1000 personer)";1295
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Sysselsatte (1000 personer)";1249
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";816
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Arbeidsledige (1000 personer)";46
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Sysselsatte i prosent av befolkningen";67,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M06";"Befolkningen (1000 personer)";1858
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Arbeidsstyrken (1000 personer)";1306
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Sysselsatte (1000 personer)";1261
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";808
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Arbeidsledige (1000 personer)";45
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Arbeidsstyrken i prosent av befolkningen";70,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Sysselsatte i prosent av befolkningen";67,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Arbeidsledige i prosent av arbeidsstyrken";3,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M07";"Befolkningen (1000 personer)";1860
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Arbeidsstyrken (1000 personer)";1303
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Sysselsatte (1000 personer)";1250
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";780
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Arbeidsledige (1000 personer)";54
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Arbeidsstyrken i prosent av befolkningen";70
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Sysselsatte i prosent av befolkningen";67,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M08";"Befolkningen (1000 personer)";1862
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Arbeidsstyrken (1000 personer)";1304
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Sysselsatte (1000 personer)";1255
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";821
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Arbeidsledige (1000 personer)";49
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Arbeidsstyrken i prosent av befolkningen";69,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Sysselsatte i prosent av befolkningen";67,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Arbeidsledige i prosent av arbeidsstyrken";3,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M09";"Befolkningen (1000 personer)";1865
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Arbeidsstyrken (1000 personer)";1303
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Sysselsatte (1000 personer)";1257
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";812
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Arbeidsledige (1000 personer)";47
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Arbeidsstyrken i prosent av befolkningen";69,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Sysselsatte i prosent av befolkningen";67,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Arbeidsledige i prosent av arbeidsstyrken";3,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M10";"Befolkningen (1000 personer)";1867
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Arbeidsstyrken (1000 personer)";1308
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Sysselsatte (1000 personer)";1257
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";809
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Arbeidsledige (1000 personer)";51
