"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Sysselsatte (1000 personer)";2494
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1909
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Arbeidsledige (1000 personer)";68
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M11";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Arbeidsstyrken (1000 personer)";2570
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Sysselsatte (1000 personer)";2501
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1922
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Arbeidsledige (1000 personer)";69
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2007M12";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Arbeidsstyrken (1000 personer)";2577
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Sysselsatte (1000 personer)";2508
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1922
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Arbeidsledige (1000 personer)";69
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M01";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Arbeidsstyrken (1000 personer)";2583
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Sysselsatte (1000 personer)";2514
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1910
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Arbeidsledige (1000 personer)";68
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M02";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Arbeidsstyrken (1000 personer)";2585
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Sysselsatte (1000 personer)";2519
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1911
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Arbeidsledige (1000 personer)";66
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M03";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Arbeidsstyrken (1000 personer)";2587
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Sysselsatte (1000 personer)";2520
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1919
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Arbeidsledige (1000 personer)";67
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M04";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Arbeidsstyrken (1000 personer)";2593
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Sysselsatte (1000 personer)";2521
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1925
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Arbeidsledige (1000 personer)";72
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Arbeidsledige i prosent av arbeidsstyrken";2,8
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M05";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Arbeidsstyrken (1000 personer)";2599
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Sysselsatte (1000 personer)";2523
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1922
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Arbeidsledige (1000 personer)";76
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Arbeidsledige i prosent av arbeidsstyrken";2,9
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M06";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Arbeidsstyrken (1000 personer)";2608
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Sysselsatte (1000 personer)";2531
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1955
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Arbeidsledige (1000 personer)";77
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Arbeidsledige i prosent av arbeidsstyrken";3
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M07";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Arbeidsstyrken (1000 personer)";2615
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Sysselsatte (1000 personer)";2536
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1957
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Arbeidsledige (1000 personer)";79
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Arbeidsledige i prosent av arbeidsstyrken";3
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M08";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Arbeidsstyrken (1000 personer)";2610
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Sysselsatte (1000 personer)";2530
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1953
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Arbeidsledige (1000 personer)";81
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Arbeidsledige i prosent av arbeidsstyrken";3,1
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M09";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Arbeidsstyrken (1000 personer)";2607
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Sysselsatte (1000 personer)";2524
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1941
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Arbeidsledige (1000 personer)";82
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M10";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Arbeidsstyrken (1000 personer)";2609
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Sysselsatte (1000 personer)";2525
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1938
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Arbeidsledige (1000 personer)";84
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M11";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Arbeidsstyrken (1000 personer)";2616
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Sysselsatte (1000 personer)";2531
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1919
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Arbeidsledige (1000 personer)";85
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2008M12";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Arbeidsstyrken (1000 personer)";2614
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Sysselsatte (1000 personer)";2528
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1895
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Arbeidsledige (1000 personer)";87
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Arbeidsstyrken i prosent av befolkningen";74,1
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Sysselsatte i prosent av befolkningen";71,7
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Arbeidsledige i prosent av arbeidsstyrken";3,3
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M01";"Befolkningen (1000 personer)";3527
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Arbeidsstyrken (1000 personer)";2613
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Sysselsatte (1000 personer)";2529
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1895
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Arbeidsledige (1000 personer)";85
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Arbeidsstyrken i prosent av befolkningen";74
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Sysselsatte i prosent av befolkningen";71,6
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M02";"Befolkningen (1000 personer)";3532
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Arbeidsstyrken (1000 personer)";2617
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Sysselsatte (1000 personer)";2530
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1906
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Arbeidsledige (1000 personer)";87
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Arbeidsstyrken i prosent av befolkningen";74
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Sysselsatte i prosent av befolkningen";71,5
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Arbeidsledige i prosent av arbeidsstyrken";3,3
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M03";"Befolkningen (1000 personer)";3537
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Arbeidsstyrken (1000 personer)";2618
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Sysselsatte (1000 personer)";2529
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1897
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Arbeidsledige (1000 personer)";89
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Arbeidsstyrken i prosent av befolkningen";74
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Sysselsatte i prosent av befolkningen";71,4
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Arbeidsledige i prosent av arbeidsstyrken";3,4
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M04";"Befolkningen (1000 personer)";3540
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Arbeidsstyrken (1000 personer)";2616
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Sysselsatte (1000 personer)";2524
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1899
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Arbeidsledige (1000 personer)";92
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Arbeidsstyrken i prosent av befolkningen";73,8
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Sysselsatte i prosent av befolkningen";71,2
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M05";"Befolkningen (1000 personer)";3544
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Arbeidsstyrken (1000 personer)";2612
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Sysselsatte (1000 personer)";2521
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1908
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Arbeidsledige (1000 personer)";91
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Arbeidsstyrken i prosent av befolkningen";73,6
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Sysselsatte i prosent av befolkningen";71,1
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M06";"Befolkningen (1000 personer)";3547
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Arbeidsstyrken (1000 personer)";2609
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Sysselsatte (1000 personer)";2517
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1909
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Arbeidsledige (1000 personer)";92
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Arbeidsstyrken i prosent av befolkningen";73,4
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Sysselsatte i prosent av befolkningen";70,9
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M07";"Befolkningen (1000 personer)";3552
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M08";"Arbeidsstyrken (1000 personer)";2597
"0 Begge kjønn";"15-74 15-74 år";"3MGG Sesongjustert, 3-måneders glidende gjennomsnitt";"2009M08";"Sysselsatte (1000 personer)";2508
