"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2018K2";34.2;41.8;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2018K3";41.8;51.0;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2018K4";43.5;53.2;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2019K1";42.3;51.6;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2019K2";36.3;44.4;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2019K3";42.9;52.4;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2019K4";41.8;51.1;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2020K1";33.9;41.4;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2020K2";34.3;41.9;0.0
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2020K3";38.1;46.5;0.0
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2020K4";32.3;39.4;0.0
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2021K1";32.4;39.5;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2021K2";28.4;34.6;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2021K3";41.5;50.7;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2021K4";47.8;58.4;0.4
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2022K1";55.3;67.5;0.7
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2022K2";47.6;58.1;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2022K3";55.0;67.1;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2022K4";50.2;61.3;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2023K1";70.9;86.6;0.0
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2023K2";66.1;80.5;0.0
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2023K3";48.2;58.8;0.0
"Eldre fastpriskontrakter, husholdninger";"2012K1";38.8;47.3;4.9
"Eldre fastpriskontrakter, husholdninger";"2012K2";38.9;47.5;3.9
"Eldre fastpriskontrakter, husholdninger";"2012K3";36.1;44.0;5.4
"Eldre fastpriskontrakter, husholdninger";"2012K4";36.7;44.8;4.6
"Eldre fastpriskontrakter, husholdninger";"2013K1";36.0;43.9;5.0
