"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2005U26";6666;26.57
"Fersk oppalen laks";"2005U27";6938;28.15
"Fersk oppalen laks";"2005U28";6560;29.28
"Fersk oppalen laks";"2005U29";6492;29.62
"Fersk oppalen laks";"2005U30";6252;29.58
"Fersk oppalen laks";"2005U31";5744;27.97
"Fersk oppalen laks";"2005U32";5938;27.86
"Fersk oppalen laks";"2005U33";7257;28.00
"Fersk oppalen laks";"2005U34";7349;27.91
"Fersk oppalen laks";"2005U35";8007;28.36
"Fersk oppalen laks";"2005U36";7334;27.67
"Fersk oppalen laks";"2005U37";8891;26.60
"Fersk oppalen laks";"2005U38";8266;25.67
"Fersk oppalen laks";"2005U39";8167;25.53
"Fersk oppalen laks";"2005U40";8201;25.67
"Fersk oppalen laks";"2005U41";9160;26.24
"Fersk oppalen laks";"2005U42";8163;26.43
"Fersk oppalen laks";"2005U43";8520;26.54
"Fersk oppalen laks";"2005U44";9099;26.54
"Fersk oppalen laks";"2005U45";8708;26.10
"Fersk oppalen laks";"2005U46";8910;25.51
"Fersk oppalen laks";"2005U47";9499;25.89
"Fersk oppalen laks";"2005U48";10348;27.07
"Fersk oppalen laks";"2005U49";12019;28.70
"Fersk oppalen laks";"2005U50";12564;28.08
"Fersk oppalen laks";"2005U51";10057;27.30
"Fersk oppalen laks";"2005U52";5834;26.79
"Fersk oppalen laks";"2006U01";5955;25.96
"Fersk oppalen laks";"2006U02";5698;25.70
"Fersk oppalen laks";"2006U03";6728;26.54
"Fersk oppalen laks";"2006U04";6778;28.54
"Fersk oppalen laks";"2006U05";6739;27.21
"Fersk oppalen laks";"2006U06";6872;26.68
"Fersk oppalen laks";"2006U07";6857;26.53
"Fersk oppalen laks";"2006U08";7017;27.55
"Fersk oppalen laks";"2006U09";8359;28.66
"Fersk oppalen laks";"2006U10";7991;29.78
"Fersk oppalen laks";"2006U11";7623;30.48
"Fersk oppalen laks";"2006U12";7507;31.18
"Fersk oppalen laks";"2006U13";7690;32.81
"Fersk oppalen laks";"2006U14";8464;34.82
"Fersk oppalen laks";"2006U15";6145;34.68
"Fersk oppalen laks";"2006U16";6523;34.58
"Fersk oppalen laks";"2006U17";8521;34.97
"Fersk oppalen laks";"2006U18";6516;36.48
"Fersk oppalen laks";"2006U19";7247;36.28
"Fersk oppalen laks";"2006U20";6114;37.00
"Fersk oppalen laks";"2006U21";6596;40.03
"Fersk oppalen laks";"2006U22";7602;40.76
"Fersk oppalen laks";"2006U23";6451;40.50
"Fersk oppalen laks";"2006U24";7247;41.07
"Fersk oppalen laks";"2006U25";7246;43.05
"Fersk oppalen laks";"2006U26";6665;42.51
"Fersk oppalen laks";"2006U27";6345;38.57
"Fersk oppalen laks";"2006U28";5684;37.91
"Fersk oppalen laks";"2006U29";5464;39.00
"Fersk oppalen laks";"2006U30";6132;38.13
"Fersk oppalen laks";"2006U31";6567;37.85
"Fersk oppalen laks";"2006U32";5688;37.24
"Fersk oppalen laks";"2006U33";6247;36.80
"Fersk oppalen laks";"2006U34";7043;36.12
"Fersk oppalen laks";"2006U35";7080;33.29
"Fersk oppalen laks";"2006U36";7400;31.17
"Fersk oppalen laks";"2006U37";8038;31.20
"Fersk oppalen laks";"2006U38";8112;30.67
"Fersk oppalen laks";"2006U39";8308;29.19
"Fersk oppalen laks";"2006U40";8670;28.06
"Fersk oppalen laks";"2006U41";8965;28.65
"Fersk oppalen laks";"2006U42";9567;29.24
"Fersk oppalen laks";"2006U43";9668;28.59
"Fersk oppalen laks";"2006U44";9795;27.57
"Fersk oppalen laks";"2006U45";9748;27.02
"Fersk oppalen laks";"2006U46";10635;26.85
"Fersk oppalen laks";"2006U47";10873;28.19
"Fersk oppalen laks";"2006U48";11548;28.73
"Fersk oppalen laks";"2006U49";12571;28.04
"Fersk oppalen laks";"2006U50";13003;27.55
"Fersk oppalen laks";"2006U51";10766;27.11
"Fersk oppalen laks";"2006U52";4463;28.26
"Fersk oppalen laks";"2007U01";6809;28.37
"Fersk oppalen laks";"2007U02";8281;28.38
"Fersk oppalen laks";"2007U03";8553;29.13
"Fersk oppalen laks";"2007U04";8179;28.33
