"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2021U04";20045;47.94
"Fersk oppalen laks";"2021U05";19322;47.31
"Fersk oppalen laks";"2021U06";20115;51.21
"Fersk oppalen laks";"2021U07";19128;51.07
"Fersk oppalen laks";"2021U08";16754;55.51
"Fersk oppalen laks";"2021U09";17969;63.31
"Fersk oppalen laks";"2021U10";16959;62.79
"Fersk oppalen laks";"2021U11";17699;59.97
"Fersk oppalen laks";"2021U12";20495;62.06
"Fersk oppalen laks";"2021U13";14286;65.25
"Fersk oppalen laks";"2021U14";15144;65.17
"Fersk oppalen laks";"2021U15";17979;60.99
"Fersk oppalen laks";"2021U16";16234;61.13
"Fersk oppalen laks";"2021U17";14629;65.74
"Fersk oppalen laks";"2021U18";14137;65.06
"Fersk oppalen laks";"2021U19";14863;71.08
"Fersk oppalen laks";"2021U20";14746;68.48
"Fersk oppalen laks";"2021U21";15977;63.53
"Fersk oppalen laks";"2021U22";17993;59.59
"Fersk oppalen laks";"2021U23";17277;57.64
"Fersk oppalen laks";"2021U24";17738;61.45
"Fersk oppalen laks";"2021U25";19385;60.12
"Fersk oppalen laks";"2021U26";18688;59.17
"Fersk oppalen laks";"2021U27";18410;59.85
"Fersk oppalen laks";"2021U28";17066;64.69
"Fersk oppalen laks";"2021U29";19289;66.05
"Fersk oppalen laks";"2021U30";19460;62.03
"Fersk oppalen laks";"2021U31";20239;58.52
"Fersk oppalen laks";"2021U32";21558;59.08
"Fersk oppalen laks";"2021U33";22000;56.91
"Fersk oppalen laks";"2021U34";23881;54.08
"Fersk oppalen laks";"2021U35";24787;54.41
"Fersk oppalen laks";"2021U36";26422;52.30
"Fersk oppalen laks";"2021U37";25827;53.43
"Fersk oppalen laks";"2021U38";26728;52.88
"Fersk oppalen laks";"2021U39";26410;53.54
"Fersk oppalen laks";"2021U40";25798;55.33
"Fersk oppalen laks";"2021U41";24509;58.39
"Fersk oppalen laks";"2021U42";22881;59.63
"Fersk oppalen laks";"2021U43";24174;57.98
"Fersk oppalen laks";"2021U44";25120;56.09
"Fersk oppalen laks";"2021U45";24527;54.86
"Fersk oppalen laks";"2021U46";24388;58.13
"Fersk oppalen laks";"2021U47";24322;61.84
"Fersk oppalen laks";"2021U48";23677;61.11
"Fersk oppalen laks";"2021U49";23597;65.06
"Fersk oppalen laks";"2021U50";25735;71.77
"Fersk oppalen laks";"2021U51";18099;71.32
"Fersk oppalen laks";"2021U52";14360;68.38
"Fersk oppalen laks";"2022U01";18114;67.32
"Fersk oppalen laks";"2022U02";17600;72.05
"Fersk oppalen laks";"2022U03";17699;72.97
"Fersk oppalen laks";"2022U04";18163;70.56
"Fersk oppalen laks";"2022U05";17327;74.42
"Fersk oppalen laks";"2022U06";17680;77.55
"Fersk oppalen laks";"2022U07";17933;87.60
"Fersk oppalen laks";"2022U08";17513;87.92
"Fersk oppalen laks";"2022U09";16643;83.75
"Fersk oppalen laks";"2022U10";16738;83.23
"Fersk oppalen laks";"2022U11";17326;78.28
"Fersk oppalen laks";"2022U12";17129;83.53
"Fersk oppalen laks";"2022U13";16023;84.16
"Fersk oppalen laks";"2022U14";17628;93.21
"Fersk oppalen laks";"2022U15";12041;94.63
"Fersk oppalen laks";"2022U16";13181;98.93
"Fersk oppalen laks";"2022U17";14245;107.75
"Fersk oppalen laks";"2022U18";13902;108.21
"Fersk oppalen laks";"2022U19";16113;97.65
"Fersk oppalen laks";"2022U20";13367;92.71
"Fersk oppalen laks";"2022U21";14301;95.13
"Fersk oppalen laks";"2022U22";16537;95.88
"Fersk oppalen laks";"2022U23";13618;96.66
"Fersk oppalen laks";"2022U24";15317;98.43
"Fersk oppalen laks";"2022U25";16619;97.43
"Fersk oppalen laks";"2022U26";16407;93.13
"Fersk oppalen laks";"2022U27";16656;90.29
"Fersk oppalen laks";"2022U28";17935;88.52
"Fersk oppalen laks";"2022U29";18927;80.74
"Fersk oppalen laks";"2022U30";18358;74.23
"Fersk oppalen laks";"2022U31";18577;75.23
"Fersk oppalen laks";"2022U32";20183;73.83
"Fersk oppalen laks";"2022U33";22368;69.86
"Fersk oppalen laks";"2022U34";24160;64.62
"Fersk oppalen laks";"2022U35";24010;61.94
"Fersk oppalen laks";"2022U36";25032;61.80
"Fersk oppalen laks";"2022U37";25816;64.49
"Fersk oppalen laks";"2022U38";27882;64.55
"Fersk oppalen laks";"2022U39";26236;65.67
"Fersk oppalen laks";"2022U40";24934;69.38
"Fersk oppalen laks";"2022U41";25531;72.88
"Fersk oppalen laks";"2022U42";25004;72.09
"Fersk oppalen laks";"2022U43";23779;70.64
"Fersk oppalen laks";"2022U44";23740;70.76
"Fersk oppalen laks";"2022U45";24421;68.43
"Fersk oppalen laks";"2022U46";22962;70.55
"Fersk oppalen laks";"2022U47";22492;78.00
"Fersk oppalen laks";"2022U48";22316;81.70
"Fersk oppalen laks";"2022U49";23460;77.77
"Fersk oppalen laks";"2022U50";24342;77.35
"Fersk oppalen laks";"2022U51";18401;74.71
"Fersk oppalen laks";"2022U52";13731;86.33
"Fersk oppalen laks";"2023U01";14932;89.67
"Fersk oppalen laks";"2023U02";15402;97.51
"Fersk oppalen laks";"2023U03";16564;94.98
"Fersk oppalen laks";"2023U04";16916;89.77
"Fersk oppalen laks";"2023U05";16946;93.07
"Fersk oppalen laks";"2023U06";15269;93.30
"Fersk oppalen laks";"2023U07";14851;103.22
"Fersk oppalen laks";"2023U08";14905;112.46
"Fersk oppalen laks";"2023U09";15004;119.48
"Fersk oppalen laks";"2023U10";13901;118.23
"Fersk oppalen laks";"2023U11";13786;122.88
"Fersk oppalen laks";"2023U12";15972;117.32
"Fersk oppalen laks";"2023U13";17460;111.04
"Fersk oppalen laks";"2023U14";11722;109.21
"Fersk oppalen laks";"2023U15";15265;113.39
"Fersk oppalen laks";"2023U16";16060;120.57
"Fersk oppalen laks";"2023U17";17281;111.63
"Fersk oppalen laks";"2023U18";13735;112.37
"Fersk oppalen laks";"2023U19";15822;108.66
"Fersk oppalen laks";"2023U20";11512;110.87
"Fersk oppalen laks";"2023U21";15492;108.65
"Fersk oppalen laks";"2023U22";15666;112.95
"Fersk oppalen laks";"2023U23";18299;110.08
"Fersk oppalen laks";"2023U24";17359;100.75
"Fersk oppalen laks";"2023U25";16792;89.46
"Fersk oppalen laks";"2023U26";17238;92.04
"Fersk oppalen laks";"2023U27";19220;94.90
"Fersk oppalen laks";"2023U28";17844;97.02
"Fersk oppalen laks";"2023U29";17898;92.67
"Fersk oppalen laks";"2023U30";19604;86.14
"Fersk oppalen laks";"2023U31";20469;83.28
"Fersk oppalen laks";"2023U32";21060;80.26
"Fersk oppalen laks";"2023U33";22698;78.14
"Fersk oppalen laks";"2023U34";24089;76.87
"Fersk oppalen laks";"2023U35";25260;75.15
"Fersk oppalen laks";"2023U36";25523;76.81
"Fersk oppalen laks";"2023U37";25480;77.05
"Fersk oppalen laks";"2023U38";24851;76.93
"Fersk oppalen laks";"2023U39";24952;80.54
"Fersk oppalen laks";"2023U40";25979;82.68
"Fersk oppalen laks";"2023U41";24679;81.28
"Fersk oppalen laks";"2023U42";24609;85.69
"Fersk oppalen laks";"2023U43";26459;83.27
"Fersk oppalen laks";"2023U44";24437;81.11
"Fersk oppalen laks";"2023U45";23852;81.99
"Fersk oppalen laks";"2023U46";24833;81.52
"Fersk oppalen laks";"2023U47";22141;83.51
"Fersk oppalen laks";"2023U48";22910;85.52
"Fersk oppalen laks";"2023U49";22243;86.73
"Fersk oppalen laks";"2023U50";24551;87.82
"Fersk oppalen laks";"2023U51";18480;91.03
"Fersk oppalen laks";"2023U52";10440;100.70
"Fersk oppalen laks";"2024U01";12105;112.90
"Fersk oppalen laks";"2024U02";16016;108.85
"Fersk oppalen laks";"2024U03";14622;99.87
"Fersk oppalen laks";"2024U04";15342;104.48
"Fersk oppalen laks";"2024U05";13511;109.18
"Fersk oppalen laks";"2024U06";15862;106.91
"Fersk oppalen laks";"2024U07";13639;107.78
"Fersk oppalen laks";"2024U08";10687;111.25
"Fersk oppalen laks";"2024U09";12959;109.58
"Fersk oppalen laks";"2024U10";14487;107.29
"Fersk oppalen laks";"2024U11";14619;106.19
"Fersk oppalen laks";"2024U12";13493;106.78
"Fersk oppalen laks";"2024U13";9512;115.19
"Fersk oppalen laks";"2024U14";11675;120.04
"Fersk oppalen laks";"2024U15";13015;123.28
"Fersk oppalen laks";"2024U16";11766;121.22
"Fersk oppalen laks";"2024U17";12923;113.18
"Fersk oppalen laks";"2024U18";11511;119.65
"Fersk oppalen laks";"2024U19";10617;122.05
"Fersk oppalen laks";"2024U20";11698;120.83
"Fersk oppalen laks";"2024U21";12567;118.07
"Fersk oppalen laks";"2024U22";15060;104.90
"Fersk oppalen laks";"2024U23";16605;92.20
"Fersk oppalen laks";"2024U24";16797;84.87
"Fersk oppalen laks";"2024U25";18125;85.58
"Fersk oppalen laks";"2024U26";17377;79.29
"Fersk oppalen laks";"2024U27";19201;78.24
"Fersk oppalen laks";"2024U28";18421;79.78
"Fersk oppalen laks";"2024U29";18177;81.46
"Fersk oppalen laks";"2024U30";21986;81.55
"Fersk oppalen laks";"2024U31";22624;81.19
"Fersk oppalen laks";"2024U32";20669;80.41
"Fersk oppalen laks";"2024U33";21367;80.89
"Fersk oppalen laks";"2024U34";24242;76.82
"Fersk oppalen laks";"2024U35";25506;73.93
"Fersk oppalen laks";"2024U36";26416;73.08
"Fersk oppalen laks";"2024U37";27899;74.12
"Fersk oppalen laks";"2024U38";28673;74.57
"Fersk oppalen laks";"2024U39";29238;73.23
"Fersk oppalen laks";"2024U40";26543;69.70
"Fersk oppalen laks";"2024U41";25180;72.76
"Fersk oppalen laks";"2024U42";25561;76.02
"Fersk oppalen laks";"2024U43";24910;77.59
"Frosen oppalen laks";"2000U01";383;32.54
"Frosen oppalen laks";"2000U02";216;33.63
"Frosen oppalen laks";"2000U03";633;36.06
"Frosen oppalen laks";"2000U04";393;34.27
"Frosen oppalen laks";"2000U05";453;33.91
"Frosen oppalen laks";"2000U06";265;35.30
"Frosen oppalen laks";"2000U07";344;34.49
"Frosen oppalen laks";"2000U08";542;36.34
"Frosen oppalen laks";"2000U09";490;36.70
"Frosen oppalen laks";"2000U10";738;34.85
"Frosen oppalen laks";"2000U11";820;37.93
"Frosen oppalen laks";"2000U12";747;36.86
"Frosen oppalen laks";"2000U13";456;37.41
"Frosen oppalen laks";"2000U14";869;38.06
"Frosen oppalen laks";"2000U15";505;37.76
"Frosen oppalen laks";"2000U16";329;36.39
"Frosen oppalen laks";"2000U17";611;38.33
"Frosen oppalen laks";"2000U18";367;41.97
"Frosen oppalen laks";"2000U19";575;42.15
"Frosen oppalen laks";"2000U20";693;40.88
"Frosen oppalen laks";"2000U21";769;43.17
"Frosen oppalen laks";"2000U22";383;42.67
"Frosen oppalen laks";"2000U23";500;41.36
"Frosen oppalen laks";"2000U24";838;43.10
"Frosen oppalen laks";"2000U25";824;41.53
"Frosen oppalen laks";"2000U26";482;40.32
"Frosen oppalen laks";"2000U27";603;40.86
"Frosen oppalen laks";"2000U28";767;40.58
"Frosen oppalen laks";"2000U29";622;39.66
"Frosen oppalen laks";"2000U30";556;40.96
"Frosen oppalen laks";"2000U31";385;40.30
"Frosen oppalen laks";"2000U32";512;41.76
"Frosen oppalen laks";"2000U33";549;42.94
"Frosen oppalen laks";"2000U34";620;41.32
"Frosen oppalen laks";"2000U35";687;40.15
"Frosen oppalen laks";"2000U36";591;38.86
"Frosen oppalen laks";"2000U37";969;38.48
"Frosen oppalen laks";"2000U38";803;36.88
"Frosen oppalen laks";"2000U39";849;39.17
"Frosen oppalen laks";"2000U40";923;36.53
"Frosen oppalen laks";"2000U41";839;36.01
"Frosen oppalen laks";"2000U42";1013;34.92
"Frosen oppalen laks";"2000U43";827;36.47
"Frosen oppalen laks";"2000U44";689;34.63
"Frosen oppalen laks";"2000U45";772;34.20
"Frosen oppalen laks";"2000U46";849;33.19
"Frosen oppalen laks";"2000U47";944;32.42
"Frosen oppalen laks";"2000U48";945;32.07
"Frosen oppalen laks";"2000U49";1063;31.91
"Frosen oppalen laks";"2000U50";428;31.14
"Frosen oppalen laks";"2000U51";1004;32.48
"Frosen oppalen laks";"2000U52";285;30.94
"Frosen oppalen laks";"2001U01";451;33.09
"Frosen oppalen laks";"2001U02";690;29.72
"Frosen oppalen laks";"2001U03";823;29.11
"Frosen oppalen laks";"2001U04";632;31.11
"Frosen oppalen laks";"2001U05";810;28.24
"Frosen oppalen laks";"2001U06";655;29.24
"Frosen oppalen laks";"2001U07";821;29.01
"Frosen oppalen laks";"2001U08";730;28.02
"Frosen oppalen laks";"2001U09";946;29.02
"Frosen oppalen laks";"2001U10";630;30.15
"Frosen oppalen laks";"2001U11";661;28.30
"Frosen oppalen laks";"2001U12";788;29.62
"Frosen oppalen laks";"2001U13";702;30.77
"Frosen oppalen laks";"2001U14";487;31.66
"Frosen oppalen laks";"2001U15";756;29.06
"Frosen oppalen laks";"2001U16";660;28.61
"Frosen oppalen laks";"2001U17";514;28.00
"Frosen oppalen laks";"2001U18";336;32.76
"Frosen oppalen laks";"2001U19";421;30.62
"Frosen oppalen laks";"2001U20";546;30.02
"Frosen oppalen laks";"2001U21";373;29.24
"Frosen oppalen laks";"2001U22";605;29.54
"Frosen oppalen laks";"2001U23";457;28.44
"Frosen oppalen laks";"2001U24";550;27.89
"Frosen oppalen laks";"2001U25";570;29.48
"Frosen oppalen laks";"2001U26";723;29.11
"Frosen oppalen laks";"2001U27";609;29.21
"Frosen oppalen laks";"2001U28";576;30.06
"Frosen oppalen laks";"2001U29";448;29.38
"Frosen oppalen laks";"2001U30";380;28.84
"Frosen oppalen laks";"2001U31";481;28.06
"Frosen oppalen laks";"2001U32";395;27.37
"Frosen oppalen laks";"2001U33";560;27.80
"Frosen oppalen laks";"2001U34";724;28.37
"Frosen oppalen laks";"2001U35";752;26.84
"Frosen oppalen laks";"2001U36";725;26.16
"Frosen oppalen laks";"2001U37";869;25.85
"Frosen oppalen laks";"2001U38";871;25.60
"Frosen oppalen laks";"2001U39";548;24.77
"Frosen oppalen laks";"2001U40";558;24.58
"Frosen oppalen laks";"2001U41";719;23.75
"Frosen oppalen laks";"2001U42";661;24.03
"Frosen oppalen laks";"2001U43";692;21.97
"Frosen oppalen laks";"2001U44";765;22.02
"Frosen oppalen laks";"2001U45";782;21.85
"Frosen oppalen laks";"2001U46";1043;21.05
"Frosen oppalen laks";"2001U47";1348;19.62
"Frosen oppalen laks";"2001U48";1060;19.68
"Frosen oppalen laks";"2001U49";1217;19.11
"Frosen oppalen laks";"2001U50";1093;18.80
"Frosen oppalen laks";"2001U51";1543;18.47
"Frosen oppalen laks";"2001U52";323;18.80
"Frosen oppalen laks";"2002U01";385;18.28
"Frosen oppalen laks";"2002U02";619;19.26
"Frosen oppalen laks";"2002U03";678;18.88
"Frosen oppalen laks";"2002U04";699;18.29
"Frosen oppalen laks";"2002U05";156;18.27
"Frosen oppalen laks";"2002U06";826;18.81
"Frosen oppalen laks";"2002U07";716;18.99
"Frosen oppalen laks";"2002U08";727;18.99
"Frosen oppalen laks";"2002U09";878;19.24
"Frosen oppalen laks";"2002U10";646;19.32
"Frosen oppalen laks";"2002U11";1021;19.98
"Frosen oppalen laks";"2002U12";826;19.68
"Frosen oppalen laks";"2002U13";523;21.24
"Frosen oppalen laks";"2002U14";596;20.81
"Frosen oppalen laks";"2002U15";656;21.52
"Frosen oppalen laks";"2002U16";635;21.21
"Frosen oppalen laks";"2002U17";542;22.27
"Frosen oppalen laks";"2002U18";511;22.12
"Frosen oppalen laks";"2002U19";400;21.98
"Frosen oppalen laks";"2002U20";564;22.03
"Frosen oppalen laks";"2002U21";759;23.21
"Frosen oppalen laks";"2002U22";858;23.33
"Frosen oppalen laks";"2002U23";806;23.81
"Frosen oppalen laks";"2002U24";962;24.11
"Frosen oppalen laks";"2002U25";851;25.19
"Frosen oppalen laks";"2002U26";782;25.48
"Frosen oppalen laks";"2002U27";946;23.52
"Frosen oppalen laks";"2002U28";793;23.10
"Frosen oppalen laks";"2002U29";460;24.00
"Frosen oppalen laks";"2002U30";620;23.80
"Frosen oppalen laks";"2002U31";645;22.59
"Frosen oppalen laks";"2002U32";520;24.25
"Frosen oppalen laks";"2002U33";589;25.12
"Frosen oppalen laks";"2002U34";514;25.38
"Frosen oppalen laks";"2002U35";787;24.30
"Frosen oppalen laks";"2002U36";661;25.16
"Frosen oppalen laks";"2002U37";756;25.53
"Frosen oppalen laks";"2002U38";776;24.98
"Frosen oppalen laks";"2002U39";720;25.41
"Frosen oppalen laks";"2002U40";710;24.46
"Frosen oppalen laks";"2002U41";1070;25.12
"Frosen oppalen laks";"2002U42";597;26.03
"Frosen oppalen laks";"2002U43";694;24.56
"Frosen oppalen laks";"2002U44";681;26.37
"Frosen oppalen laks";"2002U45";639;26.25
"Frosen oppalen laks";"2002U46";714;26.66
"Frosen oppalen laks";"2002U47";1004;25.05
"Frosen oppalen laks";"2002U48";1198;24.40
"Frosen oppalen laks";"2002U49";1311;25.11
"Frosen oppalen laks";"2002U50";1193;26.21
"Frosen oppalen laks";"2002U51";1372;25.17
"Frosen oppalen laks";"2002U52";141;28.47
"Frosen oppalen laks";"2003U01";65;25.41
"Frosen oppalen laks";"2003U02";518;26.37
"Frosen oppalen laks";"2003U03";592;26.02
"Frosen oppalen laks";"2003U04";763;25.10
"Frosen oppalen laks";"2003U05";741;24.57
"Frosen oppalen laks";"2003U06";981;24.08
"Frosen oppalen laks";"2003U07";605;25.21
"Frosen oppalen laks";"2003U08";932;24.17
"Frosen oppalen laks";"2003U09";484;24.23
"Frosen oppalen laks";"2003U10";1025;26.17
"Frosen oppalen laks";"2003U11";710;23.78
"Frosen oppalen laks";"2003U12";827;24.34
"Frosen oppalen laks";"2003U13";974;25.47
"Frosen oppalen laks";"2003U14";809;25.33
"Frosen oppalen laks";"2003U15";714;24.58
"Frosen oppalen laks";"2003U16";524;25.80
"Frosen oppalen laks";"2003U17";591;23.97
"Frosen oppalen laks";"2003U18";554;23.96
"Frosen oppalen laks";"2003U19";638;23.54
"Frosen oppalen laks";"2003U20";701;24.50
"Frosen oppalen laks";"2003U21";1044;23.22
"Frosen oppalen laks";"2003U22";748;24.36
"Frosen oppalen laks";"2003U23";639;23.74
"Frosen oppalen laks";"2003U24";601;23.92
"Frosen oppalen laks";"2003U25";830;22.13
"Frosen oppalen laks";"2003U26";1046;22.48
"Frosen oppalen laks";"2003U27";1129;22.23
"Frosen oppalen laks";"2003U28";1122;20.01
"Frosen oppalen laks";"2003U29";989;21.43
"Frosen oppalen laks";"2003U30";785;21.05
"Frosen oppalen laks";"2003U31";737;20.81
"Frosen oppalen laks";"2003U32";523;21.32
"Frosen oppalen laks";"2003U33";794;21.88
"Frosen oppalen laks";"2003U34";854;21.25
"Frosen oppalen laks";"2003U35";1080;21.58
"Frosen oppalen laks";"2003U36";1271;23.30
"Frosen oppalen laks";"2003U37";1061;22.90
"Frosen oppalen laks";"2003U38";1179;22.13
"Frosen oppalen laks";"2003U39";1255;23.30
"Frosen oppalen laks";"2003U40";876;24.02
"Frosen oppalen laks";"2003U41";623;22.27
"Frosen oppalen laks";"2003U42";924;23.83
"Frosen oppalen laks";"2003U43";1062;24.96
"Frosen oppalen laks";"2003U44";1080;25.33
"Frosen oppalen laks";"2003U45";1152;24.05
"Frosen oppalen laks";"2003U46";1208;24.52
"Frosen oppalen laks";"2003U47";1178;23.48
"Frosen oppalen laks";"2003U48";1238;23.71
"Frosen oppalen laks";"2003U49";1431;23.08
"Frosen oppalen laks";"2003U50";1213;24.03
"Frosen oppalen laks";"2003U51";1199;22.90
"Frosen oppalen laks";"2003U52";410;23.99
"Frosen oppalen laks";"2004U01";69;21.78
"Frosen oppalen laks";"2004U02";630;22.93
"Frosen oppalen laks";"2004U03";863;23.77
"Frosen oppalen laks";"2004U04";1015;23.30
"Frosen oppalen laks";"2004U05";1100;23.57
"Frosen oppalen laks";"2004U06";1095;23.09
"Frosen oppalen laks";"2004U07";680;24.10
"Frosen oppalen laks";"2004U08";758;23.78
"Frosen oppalen laks";"2004U09";840;23.83
"Frosen oppalen laks";"2004U10";906;24.73
"Frosen oppalen laks";"2004U11";838;25.33
"Frosen oppalen laks";"2004U12";863;24.96
"Frosen oppalen laks";"2004U13";682;25.79
"Frosen oppalen laks";"2004U14";859;25.55
"Frosen oppalen laks";"2004U15";528;26.06
"Frosen oppalen laks";"2004U16";428;26.48
"Frosen oppalen laks";"2004U17";559;25.77
"Frosen oppalen laks";"2004U18";751;28.94
"Frosen oppalen laks";"2004U19";512;28.09
"Frosen oppalen laks";"2004U20";975;27.16
"Frosen oppalen laks";"2004U21";750;26.97
"Frosen oppalen laks";"2004U22";950;26.10
"Frosen oppalen laks";"2004U23";785;24.62
"Frosen oppalen laks";"2004U24";1041;25.09
"Frosen oppalen laks";"2004U25";1032;24.69
"Frosen oppalen laks";"2004U26";1118;25.07
"Frosen oppalen laks";"2004U27";1273;24.50
"Frosen oppalen laks";"2004U28";1162;24.18
"Frosen oppalen laks";"2004U29";1159;23.61
"Frosen oppalen laks";"2004U30";748;24.64
"Frosen oppalen laks";"2004U31";750;24.41
"Frosen oppalen laks";"2004U32";753;24.44
"Frosen oppalen laks";"2004U33";553;26.50
"Frosen oppalen laks";"2004U34";811;24.86
"Frosen oppalen laks";"2004U35";958;24.19
"Frosen oppalen laks";"2004U36";1020;24.63
"Frosen oppalen laks";"2004U37";1013;25.67
"Frosen oppalen laks";"2004U38";1224;24.18
"Frosen oppalen laks";"2004U39";1107;24.45
"Frosen oppalen laks";"2004U40";1171;24.64
"Frosen oppalen laks";"2004U41";1270;24.49
"Frosen oppalen laks";"2004U42";1096;24.25
"Frosen oppalen laks";"2004U43";1073;23.81
"Frosen oppalen laks";"2004U44";895;23.49
"Frosen oppalen laks";"2004U45";1341;22.67
"Frosen oppalen laks";"2004U46";1263;21.91
"Frosen oppalen laks";"2004U47";1177;22.78
"Frosen oppalen laks";"2004U48";1009;22.39
"Frosen oppalen laks";"2004U49";1112;22.41
"Frosen oppalen laks";"2004U50";1423;23.03
"Frosen oppalen laks";"2004U51";1027;23.10
"Frosen oppalen laks";"2004U52";847;23.27
"Frosen oppalen laks";"2004U53";556;23.22
"Frosen oppalen laks";"2005U01";349;23.56
"Frosen oppalen laks";"2005U02";476;23.48
"Frosen oppalen laks";"2005U03";756;23.66
"Frosen oppalen laks";"2005U04";1050;24.43
"Frosen oppalen laks";"2005U05";934;24.67
"Frosen oppalen laks";"2005U06";887;25.49
"Frosen oppalen laks";"2005U07";1021;24.14
"Frosen oppalen laks";"2005U08";650;24.72
"Frosen oppalen laks";"2005U09";936;25.46
"Frosen oppalen laks";"2005U10";752;23.88
"Frosen oppalen laks";"2005U11";1074;24.28
"Frosen oppalen laks";"2005U12";757;23.53
"Frosen oppalen laks";"2005U13";784;25.11
"Frosen oppalen laks";"2005U14";852;25.03
"Frosen oppalen laks";"2005U15";826;25.44
"Frosen oppalen laks";"2005U16";509;25.03
"Frosen oppalen laks";"2005U17";748;25.94
"Frosen oppalen laks";"2005U18";548;24.02
"Frosen oppalen laks";"2005U19";493;24.30
"Frosen oppalen laks";"2005U20";1052;25.42
"Frosen oppalen laks";"2005U21";718;25.43
"Frosen oppalen laks";"2005U22";585;25.25
"Frosen oppalen laks";"2005U23";446;25.67
"Frosen oppalen laks";"2005U24";333;25.54
"Frosen oppalen laks";"2005U25";538;25.86
"Frosen oppalen laks";"2005U26";550;27.07
"Frosen oppalen laks";"2005U27";740;26.49
"Frosen oppalen laks";"2005U28";661;27.11
"Frosen oppalen laks";"2005U29";615;26.81
"Frosen oppalen laks";"2005U30";443;28.47
"Frosen oppalen laks";"2005U31";270;27.99
"Frosen oppalen laks";"2005U32";376;28.35
"Frosen oppalen laks";"2005U33";438;28.88
"Frosen oppalen laks";"2005U34";522;29.60
"Frosen oppalen laks";"2005U35";590;30.63
"Frosen oppalen laks";"2005U36";504;31.70
"Frosen oppalen laks";"2005U37";778;29.18
"Frosen oppalen laks";"2005U38";928;30.61
"Frosen oppalen laks";"2005U39";986;30.28
"Frosen oppalen laks";"2005U40";973;29.28
"Frosen oppalen laks";"2005U41";1025;29.85
"Frosen oppalen laks";"2005U42";1013;29.83
"Frosen oppalen laks";"2005U43";766;30.99
"Frosen oppalen laks";"2005U44";1293;29.69
"Frosen oppalen laks";"2005U45";993;29.51
"Frosen oppalen laks";"2005U46";1497;29.40
"Frosen oppalen laks";"2005U47";974;30.71
"Frosen oppalen laks";"2005U48";1701;30.02
"Frosen oppalen laks";"2005U49";1439;30.89
"Frosen oppalen laks";"2005U50";1353;30.07
"Frosen oppalen laks";"2005U51";851;30.71
"Frosen oppalen laks";"2005U52";555;29.38
"Frosen oppalen laks";"2006U01";236;32.62
"Frosen oppalen laks";"2006U02";739;29.41
"Frosen oppalen laks";"2006U03";1734;29.48
"Frosen oppalen laks";"2006U04";1027;30.51
"Frosen oppalen laks";"2006U05";1179;29.38
"Frosen oppalen laks";"2006U06";1108;29.34
"Frosen oppalen laks";"2006U07";1261;29.63
"Frosen oppalen laks";"2006U08";929;30.17
"Frosen oppalen laks";"2006U09";1202;30.28
"Frosen oppalen laks";"2006U10";1093;30.83
"Frosen oppalen laks";"2006U11";891;31.37
"Frosen oppalen laks";"2006U12";970;31.16
"Frosen oppalen laks";"2006U13";677;32.42
"Frosen oppalen laks";"2006U14";547;33.12
"Frosen oppalen laks";"2006U15";465;33.11
"Frosen oppalen laks";"2006U16";421;33.67
"Frosen oppalen laks";"2006U17";513;36.12
"Frosen oppalen laks";"2006U18";512;36.35
"Frosen oppalen laks";"2006U19";452;36.18
"Frosen oppalen laks";"2006U20";340;39.09
"Frosen oppalen laks";"2006U21";780;38.16
"Frosen oppalen laks";"2006U22";756;39.77
"Frosen oppalen laks";"2006U23";514;40.38
"Frosen oppalen laks";"2006U24";591;41.54
"Frosen oppalen laks";"2006U25";729;43.30
"Frosen oppalen laks";"2006U26";514;45.92
"Frosen oppalen laks";"2006U27";568;46.47
"Frosen oppalen laks";"2006U28";370;43.15
"Frosen oppalen laks";"2006U29";732;43.15
"Frosen oppalen laks";"2006U30";462;43.67
"Frosen oppalen laks";"2006U31";562;44.75
"Frosen oppalen laks";"2006U32";453;43.97
"Frosen oppalen laks";"2006U33";606;42.42
"Frosen oppalen laks";"2006U34";618;43.55
"Frosen oppalen laks";"2006U35";561;42.12
"Frosen oppalen laks";"2006U36";543;41.19
"Frosen oppalen laks";"2006U37";956;36.58
"Frosen oppalen laks";"2006U38";1539;38.26
"Frosen oppalen laks";"2006U39";1108;37.04
"Frosen oppalen laks";"2006U40";1015;34.83
"Frosen oppalen laks";"2006U41";1064;34.32
"Frosen oppalen laks";"2006U42";816;35.22
"Frosen oppalen laks";"2006U43";1097;35.20
"Frosen oppalen laks";"2006U44";1296;34.06
"Frosen oppalen laks";"2006U45";850;33.03
"Frosen oppalen laks";"2006U46";1225;32.32
"Frosen oppalen laks";"2006U47";1544;30.53
"Frosen oppalen laks";"2006U48";1117;30.27
"Frosen oppalen laks";"2006U49";1314;31.56
"Frosen oppalen laks";"2006U50";811;29.96
"Frosen oppalen laks";"2006U51";1039;30.93
"Frosen oppalen laks";"2006U52";592;29.77
"Frosen oppalen laks";"2007U01";141;30.43
"Frosen oppalen laks";"2007U02";615;31.14
"Frosen oppalen laks";"2007U03";921;30.44
"Frosen oppalen laks";"2007U04";671;31.39
"Frosen oppalen laks";"2007U05";1117;28.49
"Frosen oppalen laks";"2007U06";1440;31.82
"Frosen oppalen laks";"2007U07";1232;27.89
